Title,Status,ListingDate,EndingDate,BuyItNow,SalePrice,Fees,Net,FriendlyPackageId,FrontImageUrl
2026 Bowman Thomas White Chrome Prospects Speckle Refractor #/299 Marlins,Active,08/22/2026 02:11:40 +00:00,08/27/2026 02:11:40 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/MUkAAeSwzMRqiMbK/$_1.JPG?set_id=8800005007
2025-26 Topps Finest Joan Beringer Rare RC Sky Blue Refractor #/150 Timberwolves,Active,08/22/2026 02:10:00 +00:00,08/27/2026 02:10:00 +00:00,False,$0.99,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjA2/z/pPsAAeSwWkZqiMcJ/$_1.JPG?set_id=8800005007
2026 Bowman Thomas White Chrome Prospects Aqua X-Fractor #/125 Marlins,Active,08/22/2026 02:08:20 +00:00,08/27/2026 02:08:20 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjA1/z/O70AAeSwUjRqiMbG/$_1.JPG?set_id=8800005007
2022 Panini Prizm Draft Picks Jacob Misiorowski Neon Pink Velocity #PDP63,Active,08/22/2026 02:06:40 +00:00,08/27/2026 02:06:40 +00:00,False,$1.04,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjAy/z/tX4AAeSwptdqiMbG/$_1.JPG?set_id=8800005007
2025 Bowman Draft Seth Hernandez In Action #BIA-21 Pirates,Active,08/22/2026 02:05:00 +00:00,08/27/2026 02:05:00 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMTg2/z/jdcAAeSw72hqiMZL/$_1.JPG?set_id=8800005007
2024 Panini Prizm Draft Picks Collegiate Stephon Castle RC Rookie #17 Huskies,Active,08/22/2026 02:03:20 +00:00,08/27/2026 02:03:20 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjEw/z/kWcAAeSwGDJqiMZI/$_1.JPG?set_id=8800005007
2024-25 Panini Donruss Optic Jalen Brunson My House Holo #12 Knicks,Active,08/22/2026 02:01:40 +00:00,08/27/2026 02:01:40 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjEx/z/jCoAAeSwva1qiMYN/$_1.JPG?set_id=8800005007
2025-26 Bowman Chet Holmgren Chrome Reptilian Green Refractor #/99 Thunder,Active,08/22/2026 02:00:00 +00:00,08/27/2026 02:00:00 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMTkz/z/ZHUAAeSwPdNqiMa8/$_1.JPG?set_id=8800005007
2025-26 Bowman Ace Flagg Chrome Reptilian Refractor 1st Prospect #BCP-91 Bears,Active,08/22/2026 01:58:20 +00:00,08/27/2026 01:58:20 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjEw/z/qJ0AAeSwL3VqiMYG/$_1.JPG?set_id=8800005007
2025-26 Bowman Jared McCain Chrome Reptilian Refractor #BCV-65 76ers,Active,08/22/2026 01:56:40 +00:00,08/27/2026 01:56:40 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjEx/z/npcAAeSwfPFqiMZ6/$_1.JPG?set_id=8800005007
