Item number,Title,Current price
FBrelist-080426-1001,SAQUON BARKLEY 2025 Topps Chrome #F15-3 Fortune 15 Refractor Eagles Football,2.49
FBrelist-080426-1002,JAHDAE BARRON 2025 Topps Chrome #359 Rookie RC Broncos Football,2.49
FBrelist-080426-1003,JOSH SIMMONS 2025 Topps Chrome #304 Rookie RC Chiefs Football,2.49
FBrelist-080426-1004,GAVIN KILEN 2025 Bowman Draft #PP-14 Chrome Prized Prospects Giants Football,2.49
FBrelist-080426-1005,TRENT MCDUFFIE 2025 Topps Chrome #154 Geometric Refractor Chiefs Football,5.99
FBrelist-080426-1006,RAINIEL RODRIGUEZ 2025 Bowman Draft #BDC-72 Chrome Refractor Cardinals Football,3.99
FBrelist-080426-1007,HAYDEN BIRDSONG 2025 Bowman Chrome #63 Red RC Variation Giants Rookie Football,4.49
FBrelist-080426-1008,JHONNY LEVEL 2025 Bowman Draft #BDC-55 Chrome Refractor Giants Football,2.0
FBrelist-080426-1009,BRYCE ELDRIDGE 2025 Bowman Chrome #BCP-180 Prospects Shimmer Ref Giants Football,3.99
FBrelist-080426-1010,DAKOTA JORDAN 2025 Bowman Draft #BDC-139 Chrome Refractor Giants Football,2.49
FBrelist-080426-1011,GAVIN KILEN 2025 Bowman Draft #BDC-40 Chrome Ref 1st Prospect Giants Football,3.49
