Item number,Title,Current price
FBrelist-080426-0251,AMARI COOPER 2021 Panini Select #111 Tri-Color Prizm Cowboys Football,4.49
FBrelist-080426-0252,CHRISTIAN MCCAFFREY 2023 Panini Contenders #87 MOJO 49ers Football,6.49
FBrelist-080426-0253,KYLE TUCKER 2024 Topps #551 Rainbow Foil Houston Astros Football,3.99
FBrelist-080426-0254,MONARAY BALDWIN 2024 Bowman University Chrome #163 Baylor Bears Football,3.49
FBrelist-080426-0255,TORY HORTON 2024 Bowman University Chrome #174 Colorado State Rams Football,3.49
FBrelist-080426-0256,TERRION ARNOLD 2024 Finest #52 Blue Checkerboard Ref Detroit Lions #/99 Football,3.99
FBrelist-080426-0257,CHOP ROBINSON 2024 Finest #D-20 Debut Miami Dolphins Football,3.49
FBrelist-080426-0258,JAYLEN WRIGHT 2024 Finest #296 Miami Dolphins Football,3.99
FBrelist-080426-0259,COOPER DEJEAN 2024 Finest #D-30 Debut Philadelphia Eagles Football,3.99
FBrelist-080426-0260,MARSHAWN LLOYD 2024 Topps Chrome #251 Green Bay Packers Football,3.49
FBrelist-080426-0261,BLAKE CORUM 2024 Topps Chrome #219 Los Angeles Rams Football,3.49
FBrelist-080426-0262,ROMAN WILSON 2024 Finest #194 Refractor Pittsburgh Steelers Football,3.49
FBrelist-080426-0263,JIM EVERETT 2024 Topps Inception #77 Purple Los Angeles Rams #/125 Football,3.99
FBrelist-080426-0264,LAIATU LATU 2024 Panini Contenders #25 Rookie Stallions Indianapolis Colts RC,3.99
FBrelist-080426-0265,DEEBO SAMUEL 2024 Donruss #4 The Elite Series San Francisco 49ers Football,3.49
FBrelist-080426-0266,XAVIER LEGETTE 2024 Panini Illusions #12 Carolina Panthers Football,3.49
FBrelist-080426-0267,2024 Panini Donruss Optic Football - JA'LYNN POLK Card 240 Rookie RC,3.49
FBrelist-080426-0268,RICKY PEARSALL 2024 Panini Contenders #15 Draft Class Contenders 49ers Football,3.99
FBrelist-080426-0269,XAVIER LEGETTE 2024 Panini Contenders #16 Rookie Stallions Carolina Panthers RC,3.99
FBrelist-080426-0270,DALTON KINCAID 2024 Panini Contenders #12 Buffalo Bills Football,3.99
FBrelist-080426-0271,CHRIS OLAVE 2024 Panini Contenders #70 New Orleans Saints Football,3.99
FBrelist-080426-0272,JOE BURROW 2024 Panini Contenders #20 Cincinnati Bengals Football,3.99
FBrelist-080426-0273,AARON RODGERS 2024 Panini Contenders #78 New York Jets Football,3.99
FBrelist-080426-0274,RACHAAD WHITE 2024 Panini Contenders #94 Season Ticket Buccaneers Football,3.99
FBrelist-080426-0275,KENDRICK BOURNE 2024 Panini Contenders #69 Season Ticket Patriots Football,3.99
FBrelist-080426-0276,GARDNER MINSHEW II 2024 Panini Contenders #53 Season Ticket Raiders Football,3.99
FBrelist-080426-0277,MICAH PARSONS 2024 Panini Contenders #27 Cowboys Football,3.99
FBrelist-080426-0278,TUA TAGOVAILOA 2024 Panini Contenders #61 Dolphins Football,3.99
FBrelist-080426-0279,JOSH JACOBS 2024 Panini Contenders #35 Green Bay Packers Football,3.99
FBrelist-080426-0280,MIKE EVANS 2024 Panini Contenders #93 Season Ticket Retail Tampa Bay Buccaneers,3.99
