#,Title,SKU,eBay Price,eBay Item #
44,2025-26 Bowman JARED MCCAIN #BCV-65 Chrome Reptilian Refractor 76ers Basketball,Chromebox-0001-00011-70215,$3.49,227319141760
45,2025-26 Bowman VICTOR WEMBANYAMA #BCV-143 Chrome Mojo Refractor Spurs,BB-070326-0004,$23.99,227415753273
46,2025-26 Finest JOAN BERINGER #217 Sky Blue Ref Timberwolves #/150 Basketball,BBB-000063-tjc0m,$26.29,227258122396
47,2025-26 Finest KEL'EL WARE #BA-KW Baseline Autographs Miami Heat Auto Basketball,BBB-000019-tjbys,$15.89,227258122018
48,2025-26 Finest MALIK MONK #170 Purple X-Fractor Sacramento Kings #/99 Basketball,BBB-000052-tjc06,$6.09,227258122307
49,2025-26 Finest MALIK MONK #170 Sky Blue Ref Sacramento Kings #/250 Basketball,BBB-000050-tjc01,$11.09,227258122304
50,2025-26 Finest ZACH LAVINE #86 Green Refractor Sacramento Kings #/75 Basketball,BBB-000051-tjc02,$4.99,227258122299
51,2025-26 Finest ZACH LAVINE #86 Oil Spill Refractor Sacramento Kings Basketball,BBB-000048-tjbzy,$5.99,227258122285
52,2025-26 Topps Chrome JEREMIAH FEARS #D-7 Destiny RC Pelicans Rookie Basketball,BBA-000100-00017-33342,$2.99,227279715812
53,2025-26 Topps Finest MATAS BUZELIS #236 Rare Blue Ref 54/99 Bulls Basketball,RBM-0002-00021-56785,$45.69,227288927358
54,2025-26 Topps Finest ZACH LAVINE #169 Uncommon Sky Blue Refractor 78/250 Kings,RBM-0002-00022-22017,$10.09,227288927510
55,2025-26 Topps VICTOR WEMBANYAMA #195 Season Tip-Off Spurs Basketball,DREAMRP-0001-00022-23600,$8.99,227317101653
56,2026 Bowman FELNIN CELESTEN #BCP-57 Chrome Reptilian Blue Refractor /150,Girks_BB_-_06-27-26-00006-881021,$5.99,227406366002
57,2026 Bowman JHONNY LEVEL #BTP-76 Scouts Top 100 Chrome Mini-Diamond /150,Whatnot_06_-_06-18-26-00010-932404,$8.59,227395201829
58,2026 Bowman Mega Box JAC CAGLIANONE #75 Chrome Purple Mojo Ref /250 RC Rookie,Girks_BB_-_06-27-26-00002-870917,$17.99,227406365991
59,2026 Bowman ROMAN ANTHONY #BST-12 Sterling Chrome RC Red Sox Rookie,WHATNOT-0003-00023-92905,$2.99,227391887132
60,2026 Bowman Sapphire LEO DE VRIES #BCP-63 Chrome Prospects Athletics,Girks_BB_-_06-27-26-00004-035421,$32.00,227406366094
61,2026 Bowman Sapphire SHOTARO MORII #BCP-48 Chrome Prospects Athletics,Girks_BB_-_06-27-26-00003-391884,$7.19,227406365951
62,2026 Bowman SHOHEI OHTANI #BST-6 Sterling Chrome Dodgers,BB-Corbin_-07-03-26_$145-00005-488888,$13.99,227415740943
63,2026 Bowman THOMAS WHITE #BCP-80 Aqua X-Fractor /125 Marlins,Girkswhtnot-071226-00001-87719,$6.99,227428878321
64,2026 Bowman THOMAS WHITE #BCP-80 Speckle Refractor /299 Marlins,Whatnot-071426-00007-17739,$7.99,227431508812
65,2026 Bowman TYLER BREMNER #BCP-9 Chrome Prospects Aqua Shimmer Refractor /125,Girks_BB_-_06-27-26-00001-596754,$5.99,227406365918
66,2026 TOPPS COLLECTOR'S KIT EXCLUSIVE SHOHEI OHTANI WAVE FOIL,Girks_BB_-_06-27-26-00010-835631,$18.00,227406366113
67,2026 Topps Collector's Kit Exclusive VICTOR WEMBANYAMA #NBA-7 Wave Foil Spurs,COLL-0001-00010-30824,$13.49,227312977299
68,2026 Topps JONAH TONG #4 Sandglitter RC Mets Rookie,COLL-0001-00001-47756,$6.49,227312977294
69,2026 Topps Now MUNETAKA MURAKAMI #52 White Sox,Whatnot_08_multi_06-28-26-00001-595397,$25.99,227407756723
70,DUSAN VLAHOVIC 2023-24 Panini Select FIFA Field Level Gold Prizm 09/10 Jersey No,CDP-60FD1CB,$45.69,227054281124
71,KARIM ADEYEMI 2024-25 Topps UEFA Club Competitions Orange /25 Dortmund,CDP-21889F2,$17.59,227054281122
72,STEPHON CASTLE 2024-25 Panini Prizm Monopoly #75 San Antonio Spurs Basketball,jbfyp,$3.49,226952874705
