Item number,Custom label (SKU),Title,New price,Confidence
227455465139,RBLOT-073026-00008-22021,2026 Bowman Mega Box SAL STEWART #6 Mojo Refractor RC Reds,1.99,80%
227455465146,RBLOT-073026-00016-40014,2026 Bowman Mega Box ETHAN HOLLIDAY #BCP-1 Mojo Refractor 1st Prospect Rockies,4.19,87%
227455465223,RBLOT-073026-00010-30202,2025 Topps Inception CARLOS NARVAEZ #77 Green RC Red Sox,2.69,86%
227455465228,RBLOT-073026-00022-46528,2026 Bowman Mega Box MUNETAKA MURAKAMI #9 Mojo Refractor RC White Sox,8.69,90%
227455465304,RBLOT-073026-00014-70192,2026 Bowman Mega Box CHASE BURNS #3 Mojo Refractor RC Reds,1.99,86%
227455465381,RBLOT-073026-00020-99749,2026 Bowman ERIC HARTMAN #BCP-102 X-Fractor 1st Prospect Braves,11.59,68%
227455465399,RBLOT-073026-00005-16096,2026 Topps Tier One JULIO RODRIGUEZ #47 Bronze Foil Mariners,6.29,100%
227455465472,RBLOT-073026-00001-15056,2026 Bowman JACOB MISIOROWSKI #BST-13 RC Brewers,4.19,84%
227455465476,RBLOT-073026-00017-74427,2026 Bowman Mega Box SHOHEI OHTANI #52 Mojo Refractor Dodgers,9.09,65%
227455465500,RBLOT-073026-00012-96963,2026 Bowman Mega Box ROMAN ANTHONY #BST-12 Mojo Refractor Red Sox,3.19,64%
227455465588,RBLOT-073026-00003-62471,2025 Topps Inception MICK ABEL #75 RC Twins,1.99,87%
227455465601,RBLOT-073026-00018-78598,2026 Bowman Mega Box JACOB MISIOROWSKI #35 Mojo Refractor RC Brewers,6.59,89%
227455465619,RBLOT-073026-00011-25725,2026 Bowman Mega Box CHASE BURNS #BST-10 Mojo Refractor Reds,2.19,68%
227455465680,RBLOT-073026-00009-32274,2026 Bowman Mega Box JJ WETHERHOLT #BCP-115 Mojo Refractor Cardinals,2.89,88%
227455465693,RBLOT-073026-00007-24903,2026 BOWMAN MEGA BOX EDWARD FLORENTINO #BCP-82 MOJO REFRACTOR 1ST PROSPECT,2.99,88%
227455465700,RBLOT-073026-00002-29424,2025 Topps Inception RYAN BLISS #24 RC Mariners,2.19,85%
227455465761,RBLOT-073026-00024-99349,2026 Bowman Mega Box CAM SCHLITTLER #53 Mojo Refractor RC Yankees,4.39,86%
227455465805,RBLOT-073026-00015-33913,2026 Bowman DANIEL PIERCE #BP-77 Sky Blue Border /499 1st Prospect Rays,6.19,88%
227455465848,RBLOT-073026-00006-09209,2025 Topps Inception JAMES WOOD #31 RC Nationals,6.09,85%
227455465869,RBLOT-073026-00013-69829,2026 Bowman Mega Box KEVIN MCGONIGLE #BCP-145 Mojo Refractor Tigers,3.29,68%
227455465883,RBLOT-073026-00023-35576,2026 Bowman DANIEL PIERCE #BP-77 Fuchsia Border /299 1st Prospect Rays,4.69,100%
227455555845,SocBox-073026-00024-94572,2026 PANINI PRIZM WORLD CUP KHOZHIAKBAR ALIZHONOV WAVE UZBEKISTAN NT,3.39,100%
227455555946,SocBox-073026-00025-65195,2026 PANINI PRIZM WORLD CUP MALICK FOFANA FLUORESCENT BLUE WAVE /225 BELGIUM,3.39,100%
227455555950,SocBox-073026-00020-09020,2026 PANINI PRIZM WORLD CUP TAJON BUCHANAN WAVE CANADA,1.99,72%
227455556020,SocBox-073026-00019-29515,2026 PANINI PRIZM WORLD CUP NGAL'AYEL MUKAU WAVE COD,6.79,100%
227455556021,SocBox-073026-00027-46462,2026 PANINI PRIZM WORLD CUP AYOUB EL KAABI WAVE RC MOROCCO,1.99,83%
227455556079,SocBox-073026-00004-53822,2026 PANINI PRIZM WORLD CUP MARCUS RASHFORD SCORERS CLUB ENGLAND,1.99,79%
227455556088,SocBox-073026-00005-72185,2026 PANINI PRIZM WORLD CUP LUKA VUSKOVIC WAVE RC CROATIA,2.69,84%
227455556117,SocBox-073026-00014-00661,2026 PANINI PRIZM WORLD CUP KEVIN PINA WAVE CPV,3.39,100%
227455556130,SocBox-073026-00002-81040,2026 PANINI PRIZM WORLD CUP BRADLEY BARCOLA SCREAMERS SILVER FRANCE,2.19,85%
227455556172,SocBox-073026-00011-66305,2026 PANINI PRIZM WORLD CUP PAU CUBARSI NEW ERA SPAIN,1.99,87%
227455556218,SocBox-073026-00021-70734,2026 PANINI PRIZM WORLD CUP KYLIAN MBAPPE WAVE FRANCE,3.19,68%
227455556231,SocBox-073026-00016-26893,2026 PANINI PRIZM WORLD CUP PELE BRAZIL,1.99,63%
227455556238,SocBox-073026-00009-98120,2026 PANINI PRIZM WORLD CUP MUSAB AL-JUWAYR WAVE SAUDI ARABIA NT,3.39,100%
227455556303,SocBox-073026-00013-58610,2026 PANINI PRIZM WORLD CUP KEREM AKTURKOGLU FUCHSIA WAVE /65 TURKEY,6.79,100%
227455556320,SocBox-073026-00010-44772,2026 PANINI PRIZM WORLD CUP GABRIEL MARTINELLI PHENOMENON SILVER BRAZIL,1.99,87%
227455556348,SocBox-073026-00017-84718,2026 PANINI PRIZM WORLD CUP LAMINE YAMAL SPAIN,1.99,64%
227455556366,SocBox-073026-00008-01825,2026 PANINI PRIZM WORLD CUP MATHEW RYAN TROPHY HUNTING WAVE AUSTRALIA,1.99,77%
227455556373,SocBox-073026-00022-91273,2026 PANINI PRIZM WORLD CUP DEAN HUIJSEN WAVE SPAIN,1.99,67%
227455556388,SocBox-073026-00026-28557,2026 PANINI PRIZM WORLD CUP VIRGIL VAN DIJK TROPHY HUNTING SILVER NETHERLANDS,1.99,86%
227455556401,SocBox-073026-00015-91870,2026 PANINI PRIZM WORLD CUP ALESSANDRO CIRCATI WAVE AUSTRALIA,1.99,85%
227455556404,SocBox-073026-00023-87042,2026 PANINI PRIZM WORLD CUP EMMANUEL EMEGHA NEW ERA NETHERLANDS,1.99,86%
227455556420,SocBox-073026-00018-31509,2026 PANINI PRIZM WORLD CUP IBRAHIM MAZA NEW ERA WAVE ALGERIA,2.69,67%
227455556439,SocBox-073026-00003-17039,2026 PANINI PRIZM WORLD CUP LIBERATO CACACE WAVE NZL NT,3.39,100%
227455556446,SocBox-073026-00028-09529,2026 PANINI PRIZM WORLD CUP HICHAM BOUDAOUI ALGERIA,1.99,64%
227455556499,SocBox-073026-00001-81252,2026 PANINI PRIZM WORLD CUP HIROKI SEKINE WAVE RC JAPAN,1.99,70%
227455556505,SocBox-073026-00006-67915,2026 PANINI PRIZM WORLD CUP KENDRY PAEZ WAVE ECU,6.79,100%
227455556520,SocBox-073026-00012-33059,2026 PANINI PRIZM WORLD CUP SAEID EZATOLAHI WAVE IRAN,1.99,85%
227459491116,RBLOT-073026-00054-06377,2026 PANINI PRIZM FIFA WORLD CUP LIONEL MESSI PHENOMENON SILVER Prizm ARGENTINA,3.89,68%
227459491144,RBLOT-073026-00033-56981,2025 TOPPS UEFA CLUB COMPETITION FINEST ERLING HAALAND #FM-7 Soccer,5.29,100%
227459491147,RBLOT-073026-00027-30544,2025-26 Bowman ADDISON DEAL #CPA-AE Chrome Auto 1st Prospect Hawkeyes,11.59,100%
227459491342,RBLOT-073026-00038-14684,2025-26 Topps Hoops SPUD WEBB #D-7 Dunk-umentory Hawks,3.89,81%
227459491346,RBLOT-073026-00058-85556,2026 PANINI PRIZM FIFA WORLD CUP DAYOT UPAMECANO SCREAMERS WAVE Prizm FRANCE,1.99,87%
227459491374,RBLOT-073026-00045-61071,2026 Bowman VICTOR FIGUEROA #BP-117 Neon Green Border /399 1st Prospect Orioles,5.79,100%
227459491427,RBLOT-073026-00034-82367,2025-26 Topps Hoops THOMAS SORBER #HRS-TS Rookie Signatures RC Auto Thunder,7.09,88%
227459491560,RBLOT-073026-00049-99543,2026 PANINI PRIZM FIFA WORLD CUP ALI MAJRASHI OLD GLORY /94 SAUDI ARABIA NT,4.39,100%
227459491585,RBLOT-073026-00056-45187,2026 PANINI PRIZM FIFA WORLD CUP HARRY KANE SCORERS CLUB Silver Prizm ENGLAND,3.19,83%
227459491600,RBLOT-073026-00044-66133,2026 Bowman ANDREW FISCHER #BCP-149 Reptilian Refractor 1st Prospect Brewers,7.69,100%
227459491626,RBLOT-073026-00037-76973,2025-26 Topps Hoops DEJOUNTE MURRAY #231 Light Burst Purple /99 Pelicans,5.79,100%
227459491647,RBLOT-073026-00048-34979,2026 PANINI PRIZM FIFA WORLD CUP MUSAB AL-JUWAYR PANDORA SAUDI ARABIA NT Soccer,2.39,100%
227459491672,RBLOT-073026-00046-53194,2025 TOPPS CHROME UEFA CLUB COMPETITIONS JUDE BELLINGHAM #64 REFRACTOR Soccer,2.39,87%
227459491690,RBLOT-073026-00059-99388,2026 PANINI PRIZM FIFA WORLD CUP LUKA VUSKOVIC NEW ERA WAVE Prizm CROATIA Soccer,1.99,86%
227459491699,RBLOT-073026-00053-92116,2026 PANINI PRIZM FIFA WORLD CUP ERLING HAALAND SCREAMERS SILVER Prizm NORWAY,5.79,65%
227459491729,RBLOT-073026-00043-15886,2026 Bowman Mega Box JAKOB MARSEE #86 Sky Blue Mojo Refractor /499 RC Marlins,2.39,100%
227459491765,RBLOT-073026-00051-12162,2026 PANINI PRIZM FIFA WORLD CUP NICO WILLIAMS UNAI SIMON CONNECTIONS WAVE SPAIN,2.89,86%
227459491789,RBLOT-073026-00036-90735,SHAI GILGEOUS-ALEXANDER 2025 Topps Hoops #FP-1 First Round NBA Basketball Card,8.69,100%
227459491796,RBLOT-073026-00039-65798,2025-26 Topps Hoops SHAI GILGEOUS-ALEXANDER #H-2 Hoopers Thunder,3.59,88%
227459491820,RBLOT_-_07-30-26-11623,2026 Bowman CARLOS VIRAHONDA #BCP-28 Purple Geo Refractor /250 1st Prospect RC,4.79,100%
227459491889,RBLOT-073026-00052-34979,2026 PANINI PRIZM FIFA WORLD CUP ERLING HAALAND SCORERS CLUB WAVE Prizm NORWAY,3.89,70%
227459491967,RBLOT-073026-00029-88716,ADDISON DEAL 🔥 2025 Bowman Chrome #BCP-50 Reptilian Refractor 1st Prospect RC,2.39,100%
227459491969,RBLOT-073026-00026-48583,2025-26 Bowman JAYLON TYSON #BCV-173 Chrome Reptilian Refractor Cavaliers,1.99,100%
227459491977,RBLOT-073026-00035-52808,2025-26 Topps Hoops JEREMIAH FEARS #BH-22 Bounce House RC Pelicans,4.59,81%
227459492289,RBLOT-073026-00040-95265,ADDISON DEAL 2025 Bowman #BCP-50 Speckle Refractor /299 1st Prospect,2.39,100%
227459591585,VINCEFB-072026-00002-96316,2026 Bowman Cam Schlittler #53 SP Rookie Red Chrome Variation RC Yankees Pitcher,30.19,100%
227459724348,CARDSHQBK-0001-00005-01729,2026 Bowman MAX CLARK #BST-5 Sterling Chrome Tigers,1.99,87%
227460740309,RBLOT-073026-00031-01242,2026 PANINI PRIZM FIFA WORLD CUP ERLING HAALAND SCORERS CLUB SILVER Prizm NORWAY,3.19,83%
227461084456,RBLOT-073026-00092-99502,2025-26 Topps Hoops YVES MISSI #HS-YM Signs Auto Pelicans,4.09,85%
227461084433,RBLOT-073026-00082-50792,2022-23 Topps Chrome MLS COREY BAIRD Pink X Fractor Dynamo,2.39,100%
227461084449,RBLOT-073026-00089-31625,2026 Bowman JORGE QUINTANA #BCP-93 Reptilian Refractor 1st Prospect Padres,2.39,100%
227461084448,RBLOT-073026-00065-51405,2026 Panini Prizm World Cup EDSON ALVAREZ Global Reach Silver Mexico,2.39,85%
227461084434,RBLOT-073026-00091-75264,2026 Bowman MAREK HOUSTON #BCP-16 Lazer Refractor 1st Prospect Twins,2.39,100%
227461084436,RBLOT-073026-00085-96467,2026 Panini Prizm World Cup JOAQUIN PANICHELLI Wave Argentina,1.99,82%
227461032647,RBLOT-073026-00070-93169,2026 Panini Prizm World Cup VINI JR. Screamers Wave Brazil,2.99,83%
227461084444,RBLOT-073026-00083-35342,2026 Panini Prizm World Cup GABRIEL MARTINELLI Fluorescent Blue Wave /225 Brazil,5.79,100%
227461084441,RBLOT-073026-00084-40941,2026 Panini Prizm World Cup ANTONIO SILVA Fluorescent Blue Wave /225 Portugal,2.39,100%
227461084457,RBLOT-073026-00090-82693,2026 BOWMAN MEGA BOX EDGAR MONTERO #BCP-139 MOJO REFRACTOR 1ST PROSPECT,1.99,83%
