Item number,Custom label (SKU),Title,New price,Confidence
227462337207,FBrelist-080426-0057,2025 Bowman #BP-53 Jacob Bresnahan Prospects Giants Baseball,1.99,60%
227462337209,FBrelist-080426-0056,2023 Panini MOSAIC #13 Lamar Jackson Ravens Football,1.99,87%
227462337215,FBrelist-080426-0050,DEVONTEZ WALKER 2024 Panini Prizm Rookies #328 RC Ravens Football,1.99,60%
227462337221,FBrelist-080426-0060,2023 Donruss Optic #CR-TT Tua Tagovailoa Chain Reaction Dolphins Football,1.99,86%
227462337223,FBrelist-080426-0061,2023 Prestige LAMAR JACKSON XTRA POINTS Purple #/99 #24 Ravens Football,9.99,100%
227462337234,FBrelist-080426-0062,LADD MCCONKEY 2024 Panini Donruss Rated Rookie #328 RC chargers Football,1.99,68%
227462337235,FBrelist-080426-0063,2024 Topps Bowman U Chrome Football CAM WARD Base #38 Miami Hurricanes,2.49,85%
227462337241,FBrelist-080426-0054,2024 Topps Finest #288 Audric Estime Broncos Football,2.19,62%
227462337251,FBrelist-080426-0058,2024 Donruss Optic #268 Luke McCaffrey Commanders RC Rookie Football,1.99,66%
227462337252,FBrelist-080426-0065,2024 Panini CLEARLY Donruss Xavier Legette #16 Base The Rookies Panthers RC,3.89,100%
227462337254,FBrelist-080426-0066,2024 Select XAVIER LEGETTE Rookie Swatches Prizm #RS-XLE RC /125 Patch Panthers,10.49,100%
227462337267,FBrelist-080426-0069,BLAKE CORUM 2024 Panini Select #9 Rams Football,1.99,68%
227462337268,FBrelist-080426-0070,JAYDEN DANIELS 2024 Panini Select #4 Commanders Football,1.99,63%
