*Action(SiteID=US|Country=US|Currency=USD|Version=1193),Item number,Custom label (SKU),Start price,ShippingProfileName
Revise,227401632661,Whatnot_07_multi_-_06-23-26-00008-382105,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227401632997,Whatnot_07_multi_-_06-23-26-00024-657749,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227401633087,Whatnot_07_multi_-_06-23-26-00020-885761,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227401633224,Whatnot_07_multi_-_06-23-26-00006-388408,8.79,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227402958970,,6.39,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227402959023,,25.09,$15 to $50 Ground
Revise,227403929135,RBM-0001-00015-10174,3.99,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227406408070,FB_Drake_Maye_-06-27-26-00007-724697,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227406408120,FB_Drake_Maye_-06-27-26-00009-025417,2.79,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227406408187,FB_Drake_Maye_-06-27-26-00006-122078,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227406408235,FB_Drake_Maye_-06-27-26-00010-959570,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227406408292,FB_Drake_Maye_-06-27-26-00011-880577,2.59,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227406478230,Slabs_06-27-26-00001-353751,74.19,$15 to $50 Ground
Revise,227406478359,Slabs_06-27-26-00002-098812,57.19,$15 to $50 Ground
Revise,227407756804,Whatnot_08_multi_06-28-26-00006-556521,34.19,$15 to $50 Ground
Revise,227407756826,Whatnot_08_multi_06-28-26-00005-955149,3.49,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227409245440,BBA-000100-00012-14198,70.89,$15 to $50 Ground
Revise,227410583444,,11.49,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227415206730,BC-000088-rrqjr,4.49,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227415753222,BB-070326-0002,26.39,$15 to $50 Ground
Revise,227415758983,FB-070326-00003-48163,14.39,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227415759013,FB-070326-00005-03642,6.39,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227422915758,WBNA-070826-00017-46104,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227422915806,WBNA-070826-00008-25492,4.99,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227422915866,WBNA-070826-00021-53978,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227422915873,WBNA-070826-00009-75711,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227422916060,WBNA-070826-00011-01175,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227422916149,WBNA-070826-00018-78061,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227422916886,WBNA-070826-00013-76906,11.49,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227422916966,WBNA-070826-00015-54012,4.49,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227422987272,MISC-070826-00003-15164,5.39,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227424688853,RBBB5-0001-00059-49897,6.49,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227424689895,POOKIEWHT-0001-00005-89326,4.49,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227424702577,MISC-070926-00003-85731,14.49,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227427289915,BB-071126-00017-05690,6.49,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227427289920,BB-071126-00013-96877,3.19,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227427289977,BB-071126-00049-62577,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227427290100,BB-071126-00012-77966,3.49,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227427290106,BB-071126-00020-71864,3.79,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227427290126,BB-071126-00002-47431,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227427290160,BB-071126-00024-25503,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227427290164,BB-071126-00006-33040,6.49,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227427290185,BB-071126-00028-38201,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227427290193,BB-071126-00040-79409,2.59,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227427290306,BB-071126-00033-60827,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227427290317,BB-071126-00009-59661,3.39,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227427290320,BB-071126-00025-81538,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227427290391,BB-071126-00015-18649,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227427290393,BB-071126-00004-09019,3.39,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227428878278,,5.49,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227428878324,Girkswhtnot-071226-00004-18231,10.49,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227428878558,Girkswhtnot-071226-00002-20003,2.79,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
