Info,Version=1.0.0,Template=fx_category_template_EBAY_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Action(SiteID=US|Country=US|Currency=USD|Version=1193|CC=UTF-8),CustomLabel,*Category,StoreCategory,*Title,Subtitle,Relationship,*ConditionID,*C:Graded,*C:Sport,*C:Player/Athlete,*C:Parallel/Variety,*C:Manufacturer,C:Season,*C:Features,*C:Set,CD:Grade - (ID: 27502),*C:League,CD:Professional Grader - (ID: 27501),*C:Team,*C:Autographed,CD:Card Condition - (ID: 40001),*C:Card Name,*C:Card Number,CDA:Certification Number - (ID: 27503),*C:Type,C:Signed By,C:Autograph Authentication,C:Year Manufactured,C:Card Size,C:Country/Region of Manufacturer,C:Material,C:Autograph Format,C:Vintage,C:Original/Licensed Reprint,C:Event/Tournament,C:Language,C:Autograph Authentication Number,C:Bundle Description,C:California Prop 65 Warning,C:Card Thickness,C:Custom Bundle,C:Insert Set,C:Print Run,PicURL,GalleryType,*Description,*Format,*Duration,*StartPrice,BuyItNowPrice,*Quantity,PayPalAccepted,PayPalEmailAddress,ImmediatePayRequired,PaymentInstructions,*Location,PostalCode,ShippingType,ShippingService-1:Option,ShippingService-1:FreeShipping,ShippingService-1:Cost,ShippingService-1:AdditionalCost,ShippingService-2:Option,ShippingService-2:Cost,*DispatchTimeMax,PromotionalShippingDiscount,ShippingDiscountProfileID,*ReturnsAcceptedOption,ReturnsWithinOption,RefundOption,ShippingCostPaidByOption,AdditionalDetails,ShippingProfileName,ReturnProfileName,PaymentProfileName,TakeBackPolicyID,ProductCompliancePolicyID,ScheduleTime,BestOfferEnabled,MinimumBestOfferPrice,BestOfferAutoAcceptPrice,*C:Rookie,*C:Memorabilia
Revise,EBAY-0002-00008-94704,261328,0,2025 Bowman's Best NICK KURTZ #BS-2 Showpieces RC Athletics Rookie,,,4000,,,,,,,,,,,,,,Ungraded,,,,,,,,,,,,,,,,,,,,,,,,,,FixedPriceItem,GTC,6.59,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revise,EBAY-0002-00034-04084,261328,0,2025 Bowman Chrome CAM SMITH #77 Red RC Variation Astros Rookie,,,4000,,,,,,,,,,,,,,Ungraded,,,,,,,,,,,,,,,,,,,,,,,,,,FixedPriceItem,GTC,2.99,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revise,EBAY-0002-00011-04199,261328,0,2025 Bowman Draft MASON MORRIS #BDC-66 Chrome Refractor 1st Prospect Reds,,,4000,,,,,,,,,,,,,,Ungraded,,,,,,,,,,,,,,,,,,,,,,,,,,FixedPriceItem,GTC,3.49,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revise,EBAY-0002-00014-07440,261328,0,2025 Bowman Chrome ROMAN ANTHONY #BCP-167 Prospects Mini Diamond Refractor,,,4000,,,,,,,,,,,,,,Ungraded,,,,,,,,,,,,,,,,,,,,,,,,,,FixedPriceItem,GTC,12.59,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revise,EBAY-0002-00035-94645,261328,0,2025 Bowman Chrome ANDREW SALAS #MM-17 Melt Mashers Marlins,,,4000,,,,,,,,,,,,,,Ungraded,,,,,,,,,,,,,,,,,,,,,,,,,,FixedPriceItem,GTC,2.49,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revise,EBAY-0002-00007-38513,261328,0,2025 Bowman Chrome JACOB WILSON #MM-7 Melt Mashers RC Athletics Rookie,,,4000,,,,,,,,,,,,,,Ungraded,,,,,,,,,,,,,,,,,,,,,,,,,,FixedPriceItem,GTC,3.99,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revise,EBAY-0002-00012-07962,261328,0,2025 Bowman Draft CALEB BONEMER #BDC-184 Chrome Refractor White Sox,,,4000,,,,,,,,,,,,,,Ungraded,,,,,,,,,,,,,,,,,,,,,,,,,,FixedPriceItem,GTC,3.99,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revise,EBAY-0002-00025-25331,261328,0,2025 Bowman Draft JACOB MORRISON #BDC-42 Chrome Refractor 1st Prospect Brewers,,,4000,,,,,,,,,,,,,,Ungraded,,,,,,,,,,,,,,,,,,,,,,,,,,FixedPriceItem,GTC,2.49,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revise,EBAY-0002-00044-01080,261328,0,2025 Bowman Draft SETH HERNANDEZ #BDN-5 Night Chrome Pirates,,,4000,,,,,,,,,,,,,,Ungraded,,,,,,,,,,,,,,,,,,,,,,,,,,FixedPriceItem,GTC,4.99,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revise,EBAY-0002-00023-08639,261328,0,2025 Bowman Chrome NESTOR MIRANDA #BCP-217 Shimmer Refractor 1st Prospect Tigers,,,4000,,,,,,,,,,,,,,Ungraded,,,,,,,,,,,,,,,,,,,,,,,,,,FixedPriceItem,GTC,2.99,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
