Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"226788721897",2024 Panini ILLUSIONS J.J. MCCARTHY #100 (RC) Vikings Rookie Basketball,,CDP-5D82D06,"1","FIXED_PRICE","USD",2.99,,,2.99,"0","0","","May-31-25 19:56:24 PDT","Aug-31-26 19:56:24 PDT","Trading Card Singles","261328","","","Ungraded","","","","Excellent","","US","","",""
"226796649449",2024 Panini Prizm RICKY PEARSALL #383 (RC) 49's Rookie,,CDP-408BCBA,"1","FIXED_PRICE","USD",2.99,,,2.99,"0","","","Jun-04-25 19:11:00 PDT","Sep-04-26 19:11:00 PDT","Trading Card Singles","261328","","","Ungraded","","","","Excellent","","US","","",""
"226796701960",2024 Donruss Optic JALEN MCMILLAN No. 239 Rated Rookie /79 Orange Scope Prizm RC,,CDP-E7ADAD7,"1","FIXED_PRICE","USD",31.19,,,31.19,"0","2","","Jun-04-25 19:08:01 PDT","Sep-04-26 19:08:01 PDT","Trading Card Singles","261328","","","Ungraded","","","","Excellent","","US","","",""
"226818962727",2024 Panini Prizm Draft PICKS - All-American Cameron Brink #10 (RC) Rookie,,CDP-AA99636,"1","FIXED_PRICE","USD",1.5,,,1.5,"0","","","Jun-16-25 15:18:45 PDT","Sep-16-26 15:18:45 PDT","Trading Card Singles","261328","","","Ungraded","","","","Excellent","","US","","",""
"226818962729",2024 Panini Prizm Draft PICKS - All American Kamilla Cardoso #3 (RC) Rookie,,CDP-33CC5E2,"1","FIXED_PRICE","USD",1.25,,,1.25,"0","","","Jun-16-25 15:18:45 PDT","Sep-16-26 15:18:45 PDT","Trading Card Singles","261328","","","Ungraded","","","","Excellent","","US","","",""
"226818962733",2024 Panini Prizm MONOPOLY SABRINA IONESCU LIBERTY #WBNA18,,CDP-E7D9368,"1","FIXED_PRICE","USD",3.49,,,3.49,"0","","","Jun-16-25 15:18:45 PDT","Sep-16-26 15:18:45 PDT","Trading Card Singles","261328","","","Ungraded","","","","Excellent","","US","","",""
"226818962736",2024 Panini Absolute - Star GAZING MICHAEL PENIX JR. #SG-MPJ (RC) Rookie,,CDP-51BCBE3,"1","FIXED_PRICE","USD",2.99,,,2.99,"0","","","Jun-16-25 15:18:45 PDT","Sep-16-26 15:18:45 PDT","Trading Card Singles","261328","","","Ungraded","","","","Excellent","","US","","",""
"226818962738",2024 Panini Prizm MONOPOLY WNBA - Lexie Hull #70 Fever,,CDP-41D77C6,"1","FIXED_PRICE","USD",4.49,,,4.49,"0","0","","Jun-16-25 15:18:45 PDT","Sep-16-26 15:18:45 PDT","Trading Card Singles","261328","","","Ungraded","","","","Excellent","","US","","",""
"226818962744",2023 Panini Select - TURBOCHARGED ZAY FLOWERS #TUR-ZFL (RC) Rookie,,CDP-02E5EC3,"1","FIXED_PRICE","USD",2.99,,,2.99,"0","","","Jun-16-25 15:18:45 PDT","Sep-16-26 15:18:45 PDT","Trading Card Singles","261328","","","Ungraded","","","","Excellent","","US","","",""
"226818962746",2024 Panini Prizm - CAMERON BRINK #89 (RC) Stanford Rookie,,CDP-D255A89,"3","FIXED_PRICE","USD",3.49,,,3.49,"0","","","Jun-16-25 15:18:45 PDT","Sep-16-26 15:18:45 PDT","Trading Card Singles","261328","","","Ungraded","","","","Excellent","","US","","",""
"226851222451",2023 Panini Select ANTHONY RICHARDSON ROOKIE RC - Concourse Silver #43,,FB-1051,"1","FIXED_PRICE","USD",4.99,,,4.99,"0","","","Jul-05-25 18:23:36 PDT","Sep-05-26 18:23:36 PDT","Trading Card Singles","261328","","","Ungraded","","","","Excellent","11071750553","US","","",""
"226857642448",2024 Panini Donruss Optic - Rated Rookie JOE MILTON III #255 (RC) Cowboys,,FB-1442,"1","FIXED_PRICE","USD",3.49,,,3.49,"0","","","Jul-09-25 13:22:59 PDT","Sep-09-26 13:22:59 PDT","Trading Card Singles","261328","","","Ungraded","","","","Excellent","","US","","",""
"226866225971",2023 MOSAIC Thunder Lane Joe Mixon #TL-JM Cincinnati Bengals Basketball,,FB-1038-2EB241B,"1","FIXED_PRICE","USD",3.49,,,3.49,"0","","","Jul-14-25 14:32:09 PDT","Sep-14-26 14:32:09 PDT","Trading Card Singles","261328","","","Ungraded","","","","Excellent","","US","","",""
