Action,ItemID,EndingReason
End,226918757394,NotAvailable
End,226918757422,NotAvailable
End,226918757437,NotAvailable
End,226918757462,NotAvailable
End,226918757472,NotAvailable
End,226918757514,NotAvailable
End,226918757515,NotAvailable
End,226918757555,NotAvailable
End,226918757614,NotAvailable
End,226918757621,NotAvailable
End,226918757659,NotAvailable
End,226918757697,NotAvailable
End,226918757730,NotAvailable
End,226918757751,NotAvailable
End,226918757765,NotAvailable
End,226918757805,NotAvailable
End,226918757841,NotAvailable
End,226918757896,NotAvailable
End,226918757935,NotAvailable
End,226918757944,NotAvailable
End,226918757961,NotAvailable
End,226918757973,NotAvailable
End,226918758000,NotAvailable
End,226918758016,NotAvailable
End,226918758054,NotAvailable
End,226918758237,NotAvailable
End,226918758281,NotAvailable
End,226918758419,NotAvailable
End,226918758465,NotAvailable
End,226918758696,NotAvailable
End,226918758884,NotAvailable
End,226918759258,NotAvailable
End,226918759305,NotAvailable
End,226919237985,NotAvailable
End,226919237987,NotAvailable
End,226919238017,NotAvailable
End,226919238020,NotAvailable
End,226919238067,NotAvailable
End,226919238076,NotAvailable
End,226919238116,NotAvailable
End,226919238138,NotAvailable
End,226919238177,NotAvailable
End,226919238189,NotAvailable
End,226919238240,NotAvailable
End,226919238271,NotAvailable
End,226919238314,NotAvailable
End,226919238329,NotAvailable
End,226919238387,NotAvailable
End,226919238407,NotAvailable
End,226919238426,NotAvailable
End,226919238496,NotAvailable
End,226919238626,NotAvailable
End,226919238661,NotAvailable
End,226919238689,NotAvailable
End,226919238755,NotAvailable
End,226921255187,NotAvailable
End,226921255281,NotAvailable
End,226922633001,NotAvailable
End,226922633055,NotAvailable
End,226922633133,NotAvailable
End,226922633190,NotAvailable
End,226922633201,NotAvailable
End,226922633218,NotAvailable
End,226922633226,NotAvailable
End,226922633252,NotAvailable
End,226922633263,NotAvailable
End,226922633278,NotAvailable
End,226922633289,NotAvailable
End,226922633314,NotAvailable
End,226922633322,NotAvailable
End,226922633349,NotAvailable
End,226922633360,NotAvailable
End,226922633394,NotAvailable
End,226922633418,NotAvailable
End,226922633469,NotAvailable
End,226922633470,NotAvailable
End,226922633506,NotAvailable
End,226927783708,NotAvailable
End,226927783761,NotAvailable
End,226927783763,NotAvailable
End,226927783802,NotAvailable
End,226927783803,NotAvailable
End,226927783855,NotAvailable
End,226927783909,NotAvailable
End,226927784163,NotAvailable
End,226927784186,NotAvailable
End,226927784361,NotAvailable
End,226927784391,NotAvailable
End,226927784702,NotAvailable
End,226927784711,NotAvailable
End,226927784751,NotAvailable
End,226927784773,NotAvailable
End,226927784805,NotAvailable
End,226927784937,NotAvailable
End,226927870730,NotAvailable
End,226927870857,NotAvailable
End,226927870862,NotAvailable
End,226927870915,NotAvailable
End,226927871008,NotAvailable
End,226927871028,NotAvailable
End,226927871066,NotAvailable
End,226927871128,NotAvailable
End,226927871157,NotAvailable
End,226927871235,NotAvailable
End,226944351057,NotAvailable
End,226948322497,NotAvailable
End,226948322514,NotAvailable
End,226948322584,NotAvailable
End,226948322597,NotAvailable
End,226948322646,NotAvailable
End,226948322667,NotAvailable
End,226948322726,NotAvailable
End,226948322801,NotAvailable
End,226948322838,NotAvailable
End,226948322881,NotAvailable
End,226948322907,NotAvailable
End,226948322959,NotAvailable
End,226948322971,NotAvailable
End,226948323028,NotAvailable
End,226948323034,NotAvailable
End,226948323075,NotAvailable
End,226948323095,NotAvailable
End,226948323119,NotAvailable
End,226948323131,NotAvailable
End,226948323136,NotAvailable
End,226948323156,NotAvailable
End,226948323158,NotAvailable
End,226948323190,NotAvailable
End,226948323196,NotAvailable
End,226948323221,NotAvailable
End,226948323222,NotAvailable
End,226948323240,NotAvailable
End,226948323245,NotAvailable
End,226948323280,NotAvailable
End,226948323363,NotAvailable
End,226948323441,NotAvailable
End,226948323477,NotAvailable
End,226948323520,NotAvailable
End,226948323540,NotAvailable
