TransactionType,Description,GrossAmount,Fees,NetAmount,TransactionDate,RunningBalance
Sale,2025 Bowman's Best Jac Caglianone Top Prospects Blue Refractor #/150 Royals,$21.05,$5.78,$15.27,07/29/2026 06:30:53 +00:00,$389.90
Payout,Requested payout via ACH,-$389.90,$0.00,-$389.90,07/29/2026 15:50:54 +00:00,$0.00
Sale,2025 Bowman Chrome Mega Box Chase Dollander RC Black Mojo Refractor #/10 Rockies,$34.00,$6.41,$27.59,07/30/2026 00:01:59 +00:00,$27.59
Sale,2025 Bowman Draft Ethan Frey Chrome Auto Refractor 1st Prospect #/499 Astros,$31.00,$6.02,$24.98,07/30/2026 02:40:29 +00:00,$52.57
Sale,2025 Bowman Chrome Paul Skenes Blue Wave Refractor #/150 Pirates,$18.97,$5.40,$13.57,07/30/2026 08:15:09 +00:00,$66.14
Sale,2026 Topps Caleb Durbin Red Rainbow Foil #/5 Brewers,$17.50,$5.14,$12.36,07/30/2026 12:34:06 +00:00,$78.50
Payout,Requested payout via ACH,-$78.50,$0.00,-$78.50,07/30/2026 14:24:43 +00:00,$0.00
Sale,2021-22 Panini NBA Player of the Day Bill Russell Kaboom SSP #/99 Celtics,$21.50,$5.86,$15.64,07/30/2026 14:34:19 +00:00,$15.64
Sale,2026 Bowman Leo De Vries Chrome Prospect Auto Purple Refractor #/250 Athletics,$82.75,$12.75,$70.00,07/30/2026 15:45:32 +00:00,$85.64
Payout,Requested payout via ACH,-$85.64,$0.00,-$85.64,07/30/2026 15:56:33 +00:00,$0.00
Sale,2022 Topps Chrome Ronald Acuna Jr. Blue Wave Refractor #/75 Braves PSA 9,$21.50,$5.86,$15.64,07/30/2026 22:39:35 +00:00,$15.64
Sale,2024 Topps Five Star Austin Wells RC Green Rookie Auto Autograph #/15 Yankees,$16.50,$4.96,$11.54,08/02/2026 02:04:32 +00:00,$27.18
Sale,2023-24 Topps Chrome Lionel Messi Starball Debuts Aqua Mini Diamond #/199,$76.00,$11.87,$64.13,08/03/2026 00:16:41 +00:00,$91.31
Sale,2025 Bowman JJ Wetherholt Very Important Prospects Chrome Mini Diamond #/150,$9.25,$3.84,$5.41,08/03/2026 00:52:08 +00:00,$96.72
Sale,2025 Bowman Draft Steele Hall In Action Auto Autograph #/99 Reds,$32.00,$6.15,$25.85,08/03/2026 01:08:07 +00:00,$122.57
Sale,2023 Bowman Draft Jacob Wilson Chrome Auto 1st Prospect #CDA-JWI Athletics,$70.00,$11.09,$58.91,08/03/2026 01:15:31 +00:00,$181.48
Sale,2025 Bowman's Best Pete Crow-Armstrong Blue Lazer Refractor #/150 Cubs,$11.05,$3.98,$7.07,08/03/2026 01:30:39 +00:00,$188.55
Sale,2025 Bowman Chrome Elly De La Cruz Ascensions #BA-18 Reds,$46.55,$8.04,$38.51,08/03/2026 01:58:31 +00:00,$227.06
Sale,2025 Topps Cosmic Chrome Shohei Ohtani Light Speed #LS-15 Dodgers,$31.00,$6.02,$24.98,08/03/2026 01:58:51 +00:00,$252.04
Sale,2022 Bowman Elly De La Cruz Chrome 1st Prospect #BCP-50 Reds PSA 9,$17.51,$5.14,$12.37,08/03/2026 02:11:54 +00:00,$264.41
Sale,2019 Topps Chrome Shohei Ohtani All-Star #1 Angels,$44.00,$7.71,$36.29,08/03/2026 02:27:19 +00:00,$300.70
Sale,2024 Topps Fernando Tatis Jr. 1989 35th Anniversary Auto Autograph Gold #/50,$78.23,$12.16,$66.07,08/03/2026 02:37:08 +00:00,$366.77
Sale,2021-22 National Treasures Cade Cunningham Rookie RC Jersey Materials #/99,$71.00,$11.22,$59.78,08/03/2026 02:49:51 +00:00,$426.55
Sale,2024-25 Panini Donruss Lionel Messi Pitch Kings Red #10 Argentina PSA 9,$54.00,$9.01,$44.99,08/03/2026 03:00:09 +00:00,$471.54
Sale,2023-24 Topps Chrome Merlin UEFA Lamine Yamal Chosen One RC #MC-1,$33.00,$6.28,$26.72,08/03/2026 04:22:39 +00:00,$498.26
Sale,2022-23 Topps Chrome UEFA Jude Bellingham 1959 #59-5 Dortmund PSA 10 GEM MINT,$55.00,$9.14,$45.86,08/03/2026 11:16:53 +00:00,$544.12
Payout,Requested payout via ACH,-$544.12,$0.00,-$544.12,08/03/2026 14:29:29 +00:00,$0.00
Sale,2026 Bowman Gage Jump Chrome Reptilian Green Refractor 1st #/99 Athletics,$12.50,$4.24,$8.26,08/03/2026 14:30:41 +00:00,$8.26
Sale,2025 Bowman's Best Tyler Bremner Auto Autograph Gold Refractor #/50 Angels,$28.00,$5.63,$22.37,08/03/2026 21:53:57 +00:00,$30.63
Sale,2025 Bowman's Best Tyler Bremner Auto Autograph Orange X-Fractor #/25 Angels,$46.00,$7.97,$38.03,08/03/2026 21:53:58 +00:00,$68.66
Sale,2026 Topps Mike Trout 1991 Chrome Silver Pack Orange Mojo Refractor #/25,$39.55,$7.13,$32.42,08/04/2026 01:09:50 +00:00,$101.08
Sale,2025 Bowman Draft Eli Willits In Action Green Mojo Refractor #/99 Nationals,$8.50,$3.69,$4.81,08/04/2026 02:06:28 +00:00,$105.89
Payout,Requested payout via ACH,-$105.89,$0.00,-$105.89,08/04/2026 15:12:08 +00:00,$0.00
Sale,2024 Topps Update Pete Crow-Armstrong RC Green Crackle Foilboard #/499 Cubs,$29.00,$5.76,$23.24,08/05/2026 02:09:11 +00:00,$23.24
Sale,2020 Topps Chrome Sapphire UEFA Erling Haaland SP VAR #49b Dortmund PSA 9,$49.00,$8.36,$40.64,08/07/2026 14:56:16 +00:00,$63.88
Payout,Requested payout via ACH,-$63.88,$0.00,-$63.88,08/07/2026 16:22:17 +00:00,$0.00
Sale,2025 Bowman Draft Steele Hall Spotlights Chrome #BS-15 Reds,$47.00,$8.10,$38.90,08/08/2026 23:46:01 +00:00,$38.90
Sale,2026 Bowman Edward Florentino Retail Auto Autograph 1st Prospect #BPA-EF Pirates,$32.87,$6.26,$26.61,08/10/2026 01:01:38 +00:00,$65.51
Sale,2026 Topps Finest Nick Kurtz Rare Aqua Mini-Diamond Refractor #/199 Athletics,$15.50,$4.78,$10.72,08/10/2026 01:23:52 +00:00,$76.23
Sale,2026 Topps Finest Paul Skenes Green Mini-Diamond Refractor #/99 Pirates,$26.00,$5.37,$20.63,08/10/2026 01:25:00 +00:00,$96.86
Sale,2025 Bowman Jhostynxon Garcia Chrome Yellow Refractor 1st Prospect #/75 Red Sox,$7.00,$3.39,$3.61,08/10/2026 01:37:46 +00:00,$100.47
Sale,2025 Bowman Draft AJ Russell Chrome Green Grass Refractor 1st #/99 Rangers,$4.25,$2.84,$1.41,08/10/2026 02:10:35 +00:00,$101.88
Sale,2025-26 Topps Signature Class Cooper Flagg Chrome Rookie Pandora Refractor #101,$39.00,$7.06,$31.94,08/10/2026 02:29:29 +00:00,$133.82
Sale,2025 Bowman's Best Charlie Condon Auto Autograph Purple Refractor #/75 Rockies,$45.52,$7.91,$37.61,08/10/2026 02:45:37 +00:00,$171.43
Payout,Requested payout via ACH,-$171.43,$0.00,-$171.43,08/10/2026 04:06:21 +00:00,$0.00
Sale,2022-23 Panini Prizm Premier League Christian Pulisic Choice Red #/30 PSA 10,$55.00,$9.14,$45.86,08/10/2026 08:29:59 +00:00,$45.86
Sale,2024 Panini Flawless Rafael Palmeiro Auto Autograph #/15 Rangers,$26.00,$5.37,$20.63,08/10/2026 11:49:38 +00:00,$66.49
Payout,Requested payout via ACH,-$66.49,$0.00,-$66.49,08/10/2026 15:03:19 +00:00,$0.00
Sale,2021 Bowman Zac Veen Chrome Prospect Auto Autograph #CPA-ZV Rockies,$8.50,$3.69,$4.81,08/10/2026 22:03:05 +00:00,$4.81
Sale,2026 Topps Collector's Kit Exclusive Shohei Ohtani Wave Foil #MLB-1,$9.51,$3.89,$5.62,08/10/2026 22:46:41 +00:00,$10.43
Sale,2026 Bowman Gage Jump Logo Pattern 1st Prospect #BP-15 Athletics,$4.25,$2.84,$1.41,08/11/2026 09:30:05 +00:00,$11.84
Sale,2023-24 Topps UEFA Lionel Messi Ultimate Stage Chrome #USC-15 Barcelona,$13.35,$4.39,$8.96,08/11/2026 23:20:46 +00:00,$20.80
Sale,2024 Topps Shohei Ohtani All Star Game Bonus #2 Dodgers,$35.99,$6.67,$29.32,08/12/2026 01:30:38 +00:00,$50.12
Sale,2025 Panini One and One WNBA Sue Bird #/99 Storm,$8.50,$3.69,$4.81,08/12/2026 13:12:05 +00:00,$54.93
Payout,Requested payout via ACH,-$54.93,$0.00,-$54.93,08/12/2026 16:19:51 +00:00,$0.00
Sale,2025 Bowman Draft Ike Irish Chrome Prized Prospects Gold Refractor #/50 Orioles,$16.50,$4.96,$11.54,08/13/2026 04:14:17 +00:00,$11.54
Sale,2025 Bowman's Best Roman Anthony Performance Mini Diamond Refractor #BP-19,$2.25,$2.44,-$0.19,08/14/2026 14:30:05 +00:00,$11.35
Sale,2025 Bowman Draft Bryce Cunningham Chrome Orange Refractor #/25 Yankees,$22.50,$6.04,$16.46,08/15/2026 18:38:54 +00:00,$27.81
Sale,2025 Bowman Draft Steele Hall In Action #BIA-2 Reds,$10.50,$3.88,$6.62,08/16/2026 01:56:05 +00:00,$34.43
Sale,2025 Bowman Wen-Hui Pan Chrome Orange Shimmer Refractor 1st #/25 Phillies,$20.51,$5.68,$14.83,08/17/2026 00:15:45 +00:00,$49.26
Sale,2025-26 Topps Finest Ace Bailey Common RC Green Refractor Rookie #/75 Jazz,$57.00,$9.40,$47.60,08/17/2026 00:45:49 +00:00,$96.86
Sale,2025 Panini Donruss Optic Jaxson Dart Rated Rookie Purple Shock Prizm #273,$9.50,$3.89,$5.61,08/17/2026 01:01:57 +00:00,$102.47
Sale,2025 Bowman's Best Josuar Gonzalez Auto Autograph Refractor #B25-JG Giants,$47.88,$8.21,$39.67,08/17/2026 01:11:03 +00:00,$142.14
Sale,2026 Topps Finest Bobby Witt Jr. Rare Pink Mini-Diamond Refractor #/250 Royals,$15.00,$4.69,$10.31,08/17/2026 01:21:44 +00:00,$152.45
Sale,2026 Topps Finest Munetaka Murakami Uncommon RC Mini-Diamond Refractor #145,$15.50,$4.78,$10.72,08/17/2026 02:22:06 +00:00,$163.17
Sale,2025-26 Topps Cooper Flagg RC Rainbow Foil Rookie #201 Mavericks,$48.95,$8.35,$40.60,08/17/2026 02:46:28 +00:00,$203.77
Sale,2025-26 Topps Now Cooper Flagg RC - Rookie #124 Mavericks PSA 10 GEM MINT,$90.00,$13.69,$76.31,08/17/2026 03:02:24 +00:00,$280.08
Payout,Requested payout via ACH,-$280.08,$0.00,-$280.08,08/17/2026 04:20:25 +00:00,$0.00
Sale,2025 NSCC Silver Packs Hailey Van Lith Rookies RC #/399,$1.25,$2.24,-$0.99,08/17/2026 05:16:00 +00:00,-$0.99
Sale,2025 Panini Caitlin Clark Chronicled WNBA Green Laser #36 Fever,$12.75,$4.28,$8.47,08/17/2026 11:32:10 +00:00,$7.48
Sale,2025 Topps Cosmic Chrome Cam Skattebo Stars In The Night RC Rookie #STN-5 Giants,$29.00,$5.76,$23.24,08/17/2026 12:30:42 +00:00,$30.72
Sale,2024 Bowman Shohei Ohtani #33 Dodgers GAS 10 (B),$14.50,$4.60,$9.90,08/17/2026 15:45:37 +00:00,$40.62
Payout,Requested payout via ACH,-$40.62,$0.00,-$40.62,08/17/2026 15:54:01 +00:00,$0.00
Sale,2024 Bowman Shohei Ohtani #33 Dodgers GAS 10 (A),$15.50,$4.78,$10.72,08/17/2026 16:00:40 +00:00,$10.72
Sale,2025 Bowman Draft Gage Wood Chrome Auto Orange Mojo Refractor #/25 Phillies,$107.00,$15.90,$91.10,08/17/2026 20:14:27 +00:00,$101.82
Sale,2022 Topps Garbage Pail Kids x MLB Anthony Rizzo #14b New York Yankees,$5.50,$3.09,$2.41,08/17/2026 20:14:34 +00:00,$104.23
Sale,2025 Topps Chrome Will Reichard Orange Geometric Refractor #/25 Vikings,$11.50,$4.06,$7.44,08/18/2026 01:10:10 +00:00,$111.67
Sale,2024 Bowman Chrome University DJ Lagway Auto 1st Green Refractor #/99 PSA 10,$143.50,$20.64,$122.86,08/18/2026 06:03:47 +00:00,$234.53
Payout,Requested payout via ACH,-$234.53,$0.00,-$234.53,08/18/2026 13:30:44 +00:00,$0.00
Sale,2026 Topps Finest Aaron Judge Rare Mini-Diamond Refractor #299 New York Yankees,$24.00,$6.31,$17.69,08/19/2026 02:07:48 +00:00,$17.69
Sale,2025 Bowman Draft Cade Obermueller Chrome Auto Aqua Lava Refractor 1st #/199,$13.27,$4.38,$8.89,08/19/2026 02:17:07 +00:00,$26.58
