TransactionType,Description,GrossAmount,Fees,NetAmount,TransactionDate,RunningBalance
Sale,2025 Bowman Draft Eli Willits Chrome Aqua Reptilian Refractor 1st #/125,$41.00,$6.32,$34.68,03/31/2026 00:25:30 +00:00,$120.69
Sale,2025 Topps Update Nick Kurtz RC Gold Border Rookie #/2025 Athletics,$69.69,$10.05,$59.64,03/31/2026 02:17:14 +00:00,$180.33
Sale,2025-26 Topps Midnight Tyrese Haliburton Insomnia #/12 Pacers,$42.00,$6.45,$35.55,04/01/2026 01:01:44 +00:00,$215.88
Sale,2025-26 Topps Chrome Victor Wembanyama Negative Refractor #221 Spurs,$89.00,$12.56,$76.44,04/01/2026 02:02:16 +00:00,$292.32
Sale,2025 Bowman Draft Kyson Witherspoon Chrome Auto 1st Prospect #CPA-KW Red Sox,$36.17,$5.69,$30.48,04/01/2026 02:07:19 +00:00,$322.80
Sale,2024 Panini Donruss Optic Drake Maye Blue Hyper Rated Rookie #229 Patriots PSA 9,$61.00,$8.92,$52.08,04/01/2026 02:16:27 +00:00,$374.88
Sale,2025-26 Topps Chrome Cooper Flagg RC Rookie #251 Mavericks,$27.75,$4.60,$23.15,04/01/2026 03:12:27 +00:00,$398.03
Sale,2024 Topps Inception Matt Olson Short Prints Alpha #124 Braves,$12.22,$3.19,$9.03,04/01/2026 04:00:13 +00:00,$407.06
Sale,2025 Topps Cosmic Chrome Kristian Campbell Launched Into Orbit RC Orange #/25,$28.00,$4.63,$23.37,04/01/2026 04:31:21 +00:00,$430.43
Sale,2025 Topps Cosmic Chrome Alex Bregman Launched Into Orbit Orange Refractor #/25,$28.00,$4.63,$23.37,04/01/2026 11:20:34 +00:00,$453.80
Sale,2025 Bowman Draft Kade Anderson Chrome Sky Blue Refractor 1st #BDC-3 Mariners,$13.02,$3.33,$9.69,04/01/2026 13:16:05 +00:00,$463.49
Sale,2025-26 Topps Chrome Cooper Flagg Activators RC Refractor #AC-11 Mavericks,$23.50,$5.22,$18.28,04/01/2026 13:34:35 +00:00,$481.77
