Item number,Title,Current price
FBrelist-080426-0558,TROY FRANKLIN 2024 Donruss #18 Rookie Gridiron Kings Denver Broncos RC Football,3.49
FBrelist-080426-0559,BRYCE YOUNG 2023 Panini Phoenix #FF-2 Fire Forged Carolina Panthers Football,5.49
FBrelist-080426-0560,T'VONDRE SWEAT 2024 Panini Phoenix #245 Hyper Tennessee Titans Football,3.99
FBrelist-080426-0561,WILL LEVIS 2024 Panini Prizm #277 Orange Disco Prizm Tennessee Titans Football,3.99
FBrelist-080426-0562,KYLER MURRAY 2023 Panini Select #243 Silver Prizms Arizona Cardinals Football,4.49
FBrelist-080426-0563,DEANDRE HOPKINS 2024 Panini Prizm #279 Silver Tennessee Titans Football,4.49
FBrelist-080426-0564,WILL LEVIS 2024 Topps Signature Class #SC-4 Star Cast Tennessee Titans Football,4.49
FBrelist-080426-0565,JAVONTE WILLIAMS 2023 Panini Mosaic #68 Green Mosaic Denver Broncos Football,4.49
FBrelist-080426-0566,WILL LEVIS 2023 Panini Contenders #20 Winning Ticket Silver Tennessee Titans,4.49
FBrelist-080426-0567,MALACHI CORLEY 2024 Panini Illusions #20 Mystique Emerald New York Jets Football,3.49
FBrelist-080426-0568,XAVIER WORTHY 2024 Topps Chrome #CAE-XW Chrome All-Etch Ref Chiefs Football,3.49
FBrelist-080426-0569,DK METCALF 2023 Panini Select #170 Black and Red Prizms Die Cuts Seahawks,3.49
FBrelist-080426-0570,MICHAEL LEWIS 2002 Topps Chrome #179 Philadelphia Eagles Football,3.49
FBrelist-080426-0571,BRETT FAVRE 1991 Upper Deck #647 Atlanta Falcons Football,2.99
FBrelist-080426-0572,CORNELIUS JOHNSON 2024 Donruss #377 Optic Red Pandora Chargers Football,3.99
FBrelist-080426-0573,JAYDEN DANIELS 2024 Topps Chrome #FS-2 Future Stars Washington Commanders,6.99
FBrelist-080426-0574,MICHAEL PITTMAN JR. 2024 Panini Select #83 Black & Red Prizm Shock Colts,3.49
FBrelist-080426-0575,BRYCE YOUNG 2023 Panini Select #NMB-BYO Numbers Carolina Panthers Football,3.49
FBrelist-080426-0576,TREVOR LAWRENCE 2024 Panini Mosaic #M-7 Montage Mosaic Jacksonville Jaguars,3.49
FBrelist-080426-0577,TREVOR LAWRENCE 2021 Donruss Optic #TR-1 The Rookies Jacksonville Jaguars RC,3.49
FBrelist-080426-0578,TREVOR LAWRENCE 2021 Donruss Optic #RGK-1 Rookie Gridiron Kings Jaguars RC,3.49
FBrelist-080426-0579,ROME ODUNZE 2024 Panini Prizm #11 Emergent Green Wave Prizm Chicago Bears,3.99
FBrelist-080426-0580,BAKER MAYFIELD 2024 Donruss #34 Dominators Tampa Bay Buccaneers Football,3.99
FBrelist-080426-0581,BO JACKSON 1990 Score #591 Los Angeles Raiders Football,2.99
FBrelist-080426-0582,JUSTIN HERBERT 2024 Donruss #6 Dominators Los Angeles Chargers Football,3.99
FBrelist-080426-0583,LAMAR JACKSON 2023 Panini Select #241 Red and Blue Prizms Die Cuts Ravens,3.99
FBrelist-080426-0584,JUSTIN FIELDS 2021 Panini Illusions #SS-14 Shining Stars Chicago Bears Football,3.49
FBrelist-080426-0585,GEORGE KITTLE 2021 Panini Select #HT-17 Hidden Talents San Francisco 49ers,3.49
FBrelist-080426-0586,TEE HIGGINS 2020 Panini Playbook #110 Cincinnati Bengals Football,3.49
FBrelist-080426-0587,DERRICK HENRY 2024 Panini Absolute #8 Blue Baltimore Ravens Football,3.49
FBrelist-080426-0588,MALACHI CORLEY 2024 Panini Prizm #369 Red White and Blue New York Jets Football,3.49
FBrelist-080426-0589,JARED GOFF 2024 Panini Mosaic #71 Mosaic Reactive Yellow Detroit Lions Football,3.49
FBrelist-080426-0590,PATRICK MAHOMES II 2024 Panini Select #1 Turbocharged Kansas City Chiefs,3.99
FBrelist-080426-0591,BRIAN BRANCH 2024 Panini Select #129 Silver Prizm Die Cut Detroit Lions Football,3.49
FBrelist-080426-0592,BRYCE YOUNG 2023 Topps Composite #158 Carolina Panthers Football,3.49
FBrelist-080426-0593,KYLE TUCKER 2019 Topps Fire #70 Houston Astros Football,3.49
FBrelist-080426-0594,KYLER MURRAY 2021 Panini Mosaic #WW-3 Will to Win Arizona Cardinals Football,3.49
FBrelist-080426-0595,PHOTOGENIC BLAKE CORUM 2024 Panini #3 Rookie Pix Los Angeles Rams RC Football,3.49
FBrelist-080426-0596,AARON RODGERS 2022 Panini Select Draft Picks #28 California Golden Bears,3.49
