Title,Status,ListingDate,EndingDate,BuyItNow,SalePrice,Fees,Net,FriendlyPackageId,FrontImageUrl
2025 Topps Chrome Update Nick Kurtz RC RayWave Refractor #USC178 Athletics,Paid,04/25/2026 01:57:06 +00:00,04/30/2026 01:57:06 +00:00,False,$10.00,$2.79,$7.21,238229,https://i.ebayimg.com/00/s/MTYwMFgxMTk1/z/Sk8AAeSwE8Zp62dB/$_1.JPG?set_id=8800005007
2025 Bowman Draft Tommy White Sky Blue Border #/499 Athletics,Paid,04/25/2026 01:54:13 +00:00,04/30/2026 01:54:13 +00:00,False,$0.99,$0.99,$0.00,238229,https://i.ebayimg.com/00/s/MTYwMFgxMTk1/z/0ugAAeSwE2Fp62e5/$_1.JPG?set_id=8800005007
2025 Bowman Chrome Sapphire Elorky Rodriguez Yellow Refractor 1st #/75 Rangers,Paid,04/25/2026 01:51:20 +00:00,04/30/2026 01:51:20 +00:00,False,$11.50,$3.06,$8.44,238229,https://i.ebayimg.com/00/s/MTYwMFgxMTk1/z/3rYAAeSwPmNp62c~/$_1.JPG?set_id=8800005007
2026 Topps Roman Anthony Stars of MLB RC Rookie #SMLB-25 Red Sox,Paid,04/25/2026 01:48:27 +00:00,04/30/2026 01:48:27 +00:00,False,$0.99,$0.99,$0.00,238229,https://i.ebayimg.com/00/s/MTYwMFgxMTk1/z/1jMAAeSwjapp62dD/$_1.JPG?set_id=8800005007
2026 Topps Roman Anthony Titans Of The Game RC Rookie #TOG-9 Red Sox,Paid,04/25/2026 01:45:34 +00:00,04/30/2026 01:45:34 +00:00,False,$3.25,$1.64,$1.61,238229,https://i.ebayimg.com/00/s/MTYwMFgxMTky/z/e4kAAeSwwatp62d6/$_1.JPG?set_id=8800005007
2025 Bowman Draft Yandel Ricardo Chrome Fuchsia Reptilian Refractor #/199 Royals,Paid,04/25/2026 01:42:41 +00:00,04/30/2026 01:42:41 +00:00,False,$1.55,$1.30,$0.25,238229,https://i.ebayimg.com/00/s/MTYwMFgxMTky/z/PzMAAeSwQIpp62en/$_1.JPG?set_id=8800005007
2026 Topps Jeff Bagwell 1991 Chrome Silver Pack Purple Refractor #/250,Paid,04/25/2026 01:39:48 +00:00,04/30/2026 01:39:48 +00:00,False,$2.26,$1.44,$0.82,238229,https://i.ebayimg.com/00/s/MTYwMFgxMTk1/z/KlgAAeSwhS1p62fu/$_1.JPG?set_id=8800005007
2025 Bowman Draft Sapphire Ethan Frey Chrome 1st Prospect #BDC-67 Astros,Paid,04/25/2026 01:36:55 +00:00,04/30/2026 01:36:55 +00:00,False,$2.25,$1.44,$0.81,238229,https://i.ebayimg.com/00/s/MTYwMFgxMjA1/z/TfUAAeSwiY5p62fp/$_1.JPG?set_id=8800005007
2026 Topps Mauricio Dubon Yellow Rainbow Foil #/399 Astros,Paid,04/25/2026 01:34:02 +00:00,04/30/2026 01:34:02 +00:00,False,$1.25,$1.24,$0.01,238229,https://i.ebayimg.com/00/s/MTYwMFgxMjA1/z/BY0AAeSweFVp62c3/$_1.JPG?set_id=8800005007
2025 Bowman Draft Jake Munroe Chrome Auto 1st Prospect #CPA-JMU Angels,Paid,04/25/2026 01:31:09 +00:00,04/30/2026 01:31:09 +00:00,False,$5.51,$2.09,$3.42,238229,https://i.ebayimg.com/00/s/MTYwMFgxMTk1/z/ZYQAAeSwCctp62dv/$_1.JPG?set_id=8800005007
2025 Topps Cosmic Chrome Jacob Wilson RC Nucleus Refractor Rookie #139 Athletics,Paid,04/25/2026 01:28:16 +00:00,04/30/2026 01:28:16 +00:00,False,$15.50,$3.78,$11.72,238229,https://i.ebayimg.com/00/s/MTYwMFgxMTkz/z/pUEAAeSwUdhp62d0/$_1.JPG?set_id=8800005007
2025 Topps Update Eli White Orange Holo Foil #/25 Braves,Paid,04/25/2026 01:25:23 +00:00,04/30/2026 01:25:23 +00:00,False,$7.50,$2.49,$5.01,238229,https://i.ebayimg.com/00/s/MTYwMFgxMTky/z/jUwAAeSw7LFp62dt/$_1.JPG?set_id=8800005007
2024 Bowman Chrome Sapphire Christian Yelich Refractor Yellow #/75 Brewers,Paid,04/25/2026 01:22:30 +00:00,04/30/2026 01:22:30 +00:00,False,$3.51,$1.69,$1.82,238229,https://i.ebayimg.com/00/s/MTYwMFgxMjA1/z/RigAAeSwxXhp62fm/$_1.JPG?set_id=8800005007
2025 Bowman Draft JoJo Parker Chrome Refractor 1st Prospect #BDC-8 Blue Jays,Paid,04/25/2026 01:19:36 +00:00,04/30/2026 01:19:36 +00:00,False,$7.50,$2.49,$5.01,238229,https://i.ebayimg.com/00/s/MTYwMFgxMTk3/z/ExQAAeSw-H1p62fj/$_1.JPG?set_id=8800005007
2025 Bowman Draft Walker Janek Chrome Aqua Wave Refractor #/125 Astros,Paid,04/25/2026 01:16:43 +00:00,04/30/2026 01:16:43 +00:00,False,$3.51,$1.69,$1.82,238229,https://i.ebayimg.com/00/s/MTYwMFgxMTk3/z/9DgAAeSwwilp62bz/$_1.JPG?set_id=8800005007
2025 Bowman Draft Ethan Frey Chrome Blue Refractor 1st Prospect #/150 Astros,Paid,04/25/2026 01:13:50 +00:00,04/30/2026 01:13:50 +00:00,False,$9.37,$2.86,$6.51,238229,https://i.ebayimg.com/00/s/MTYwMFgxMjA3/z/94wAAeSwpzNp62dr/$_1.JPG?set_id=8800005007
2025 Bowman Draft Walker Janek Gold Border #/50 Astros,Paid,04/25/2026 01:10:57 +00:00,04/30/2026 01:10:57 +00:00,False,$3.85,$1.76,$2.09,238229,https://i.ebayimg.com/00/s/MTYwMFgxMjA3/z/5WMAAeSwkuFp62eb/$_1.JPG?set_id=8800005007
2025 Bowman Draft Walker Janek Chrome Green Grass Refractor #/99 Astros,Paid,04/25/2026 01:08:04 +00:00,04/30/2026 01:08:04 +00:00,False,$5.50,$2.09,$3.41,238229,https://i.ebayimg.com/00/s/MTYwMFgxMTky/z/7wcAAeSwiJ5p62ej/$_1.JPG?set_id=8800005007
2025 Bowman Draft Cameron Millar Chrome Purple Geometric Refractor 1st #/250,Paid,04/25/2026 01:05:11 +00:00,04/30/2026 01:05:11 +00:00,False,$2.51,$1.49,$1.02,238229,https://i.ebayimg.com/00/s/MTYwMFgxMTk1/z/PSYAAeSwi69p62by/$_1.JPG?set_id=8800005007
2025 Bowman Draft Nolan Sailors Chrome Auto 1st Prospect #CPA-NSA Royals,Paid,04/25/2026 01:02:18 +00:00,04/30/2026 01:02:18 +00:00,False,$7.50,$2.49,$5.01,238229,https://i.ebayimg.com/00/s/MTYwMFgxMTk3/z/SNwAAeSw69Jp62br/$_1.JPG?set_id=8800005007
2023 Bowman Draft Kristian Campbell Aqua/Pink Gradient 1st #/199 Red Sox,Paid,04/25/2026 00:59:25 +00:00,04/30/2026 00:59:25 +00:00,False,$3.51,$1.69,$1.82,238229,https://i.ebayimg.com/00/s/MTYwMFgxMTk1/z/~PUAAeSwXBNp62ea/$_1.JPG?set_id=8800005007
2025 Bowman Draft Mason McConnaughey Chrome Green Refractor 1st #/99 Rangers,Paid,04/25/2026 00:56:32 +00:00,04/30/2026 00:56:32 +00:00,False,$4.55,$1.90,$2.65,238229,https://i.ebayimg.com/00/s/MTYwMFgxMTk1/z/Q0MAAeSw16pp62fV/$_1.JPG?set_id=8800005007
2025 Topps Cosmic Chrome Jacob deGrom Green Space Dust Refractor #/75 Rangers,Paid,04/25/2026 00:53:39 +00:00,04/30/2026 00:53:39 +00:00,False,$21.50,$4.86,$16.64,238229,https://i.ebayimg.com/00/s/MTYwMFgxMTk1/z/tFUAAeSweM9p62bi/$_1.JPG?set_id=8800005007
2025 Bowman Draft Dominick Reid Chrome Purple Refractor 1st Prospect #/250 Cubs,Paid,04/25/2026 00:50:46 +00:00,04/30/2026 00:50:46 +00:00,False,$5.50,$2.09,$3.41,238229,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/gTkAAeSwpQZp62dY/$_1.JPG?set_id=8800005007
2025 Bowman Draft Sapphire JJ Wetherholt Chrome #BDC-145 Cardinals,Paid,04/25/2026 00:47:53 +00:00,04/30/2026 00:47:53 +00:00,False,$9.00,$2.79,$6.21,238229,https://i.ebayimg.com/00/s/MTYwMFgxMTk1/z/Q40AAeSwi69p62fa/$_1.JPG?set_id=8800005007
2025 Bowman Draft Sapphire Liam Doyle Chrome 1st Prospect #BDC-12 Cardinals,Paid,04/25/2026 00:45:00 +00:00,04/30/2026 00:45:00 +00:00,False,$6.50,$2.29,$4.21,238229,https://i.ebayimg.com/00/s/MTYwMFgxMjA1/z/UZsAAeSwN~xp62dV/$_1.JPG?set_id=8800005007
2023 Topps Chrome Christian Yelich Purple Refractor #/250 Brewers,Paid,04/25/2026 00:42:06 +00:00,04/30/2026 00:42:06 +00:00,False,$2.26,$1.44,$0.82,238229,https://i.ebayimg.com/00/s/MTYwMFgxMTk1/z/rysAAeSwNw1p62dW/$_1.JPG?set_id=8800005007
2024 Panini Select Drake Maye Premier RC Rookie #113 Patriots,Paid,04/25/2026 00:39:13 +00:00,04/30/2026 00:39:13 +00:00,False,$1.30,$1.25,$0.05,238229,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/DBkAAeSwU9Bp62ba/$_1.JPG?set_id=8800005007
2024 Panini Select Drake Maye Concourse RC Rookie #27 Patriots,Paid,04/25/2026 00:36:20 +00:00,04/30/2026 00:36:20 +00:00,False,$1.76,$1.34,$0.42,238229,https://i.ebayimg.com/00/s/MTYwMFgxMjA1/z/OnEAAeSw0rNp62eR/$_1.JPG?set_id=8800005007
2025 Panini Mosaic Drake Maye Notoriety Green Prizm #3 Patriots,Paid,04/25/2026 00:33:27 +00:00,04/30/2026 00:33:27 +00:00,False,$2.24,$1.44,$0.80,238229,https://i.ebayimg.com/00/s/MTYwMFgxMjA1/z/9IsAAeSw5M9p62dO/$_1.JPG?set_id=8800005007
2025 Panini Mosaic Drake Maye Mosaic Prizm #28 Patriots,Paid,04/25/2026 00:30:34 +00:00,04/30/2026 00:30:34 +00:00,False,$2.00,$1.39,$0.61,238229,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/PMQAAeSwS1dp62bb/$_1.JPG?set_id=8800005007
2025 Panini Mosaic Drake Maye International Games #258 Patriots,Paid,04/25/2026 00:27:41 +00:00,04/30/2026 00:27:41 +00:00,False,$0.99,$0.99,$0.00,238229,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/DmQAAeSwJnVp62dH/$_1.JPG?set_id=8800005007
2024 Panini Select Caleb Williams Premier RC Rookie #114 Bears,Paid,04/25/2026 00:24:48 +00:00,04/30/2026 00:24:48 +00:00,False,$1.25,$1.24,$0.01,238229,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/TDQAAeSwE8Zp62eD/$_1.JPG?set_id=8800005007
2025 Panini Mosaic Cam Skattebo Variation RC #271 Giants Rookie,Unsold,04/25/2026 00:21:55 +00:00,04/30/2026 00:21:55 +00:00,False,$0.00,$2.00,-$2.00,238229,https://i.ebayimg.com/00/s/MTYwMFgxMjA1/z/O28AAeSwto1p62d~/$_1.JPG?set_id=8800005007
2023 Topps Composite Jim McMahon Chrome Blue Refractor #/150 Bears,Paid,04/25/2026 00:19:02 +00:00,04/30/2026 00:19:02 +00:00,False,$1.94,$1.38,$0.56,238229,https://i.ebayimg.com/00/s/MTYwMFgxMTk3/z/b6kAAeSw8P5p62e8/$_1.JPG?set_id=8800005007
2025 Panini Phoenix Bo Nix Paragon #14 Broncos,Paid,04/25/2026 00:16:09 +00:00,04/30/2026 00:16:09 +00:00,False,$1.25,$1.24,$0.01,238229,https://i.ebayimg.com/00/s/MTYwMFgxMjAy/z/9Z8AAeSwcIBp62e8/$_1.JPG?set_id=8800005007
2025 Panini Phoenix Jayden Daniels #8 Commanders,Unsold,04/25/2026 00:13:16 +00:00,04/30/2026 00:13:16 +00:00,False,$0.00,$2.00,-$2.00,238229,https://i.ebayimg.com/00/s/MTYwMFgxMjAy/z/EVIAAeSw0Idp62bM/$_1.JPG?set_id=8800005007
2025 Panini Ohio State University Quinshon Judkins Trophy Hunting Holo #TH-7,Paid,04/25/2026 00:10:23 +00:00,04/30/2026 00:10:23 +00:00,False,$0.99,$0.99,$0.00,238229,https://i.ebayimg.com/00/s/MTYwMFgxMjAy/z/EvYAAeSwh5Vp62e2/$_1.JPG?set_id=8800005007
2024-25 Panini Mosaic Jaylen Brown Jam Masters Orange Ice Mosaic #/49 Celtics,Paid,04/25/2026 00:07:30 +00:00,04/30/2026 00:07:30 +00:00,False,$13.00,$3.33,$9.67,238229,https://i.ebayimg.com/00/s/MTYwMFgxMjA1/z/lXkAAeSw6Ydp62d5/$_1.JPG?set_id=8800005007
2020-21 Panini Donruss Optic Luka Doncic #86 Mavericks,Paid,04/25/2026 00:04:36 +00:00,04/30/2026 00:04:36 +00:00,False,$0.99,$0.99,$0.00,238229,https://i.ebayimg.com/00/s/MTYwMFgxMjAy/z/BqwAAeSwzRxp62b5/$_1.JPG?set_id=8800005007
2024-25 Topps Chrome Cam Spencer RC Magenta Speckle Refractor #/350 Grizzlies,Paid,04/25/2026 00:01:43 +00:00,04/30/2026 00:01:43 +00:00,False,$0.99,$0.99,$0.00,238229,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/DJUAAeSwJnVp62b3/$_1.JPG?set_id=8800005007
2022-23 Panini Flux Tyrese Maxey #70 76ers,Unsold,04/24/2026 23:58:50 +00:00,04/29/2026 23:58:50 +00:00,False,$0.00,$2.00,-$2.00,238229,https://i.ebayimg.com/00/s/MTYwMFgxMTk3/z/MusAAeSw2Cpp62d7/$_1.JPG?set_id=8800005007
2025-26 Topps Andrew Wiggins Gold #/2025 Heat,Paid,04/24/2026 23:55:57 +00:00,04/29/2026 23:55:57 +00:00,False,$0.99,$0.99,$0.00,238229,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/9IUAAeSw93Np62bx/$_1.JPG?set_id=8800005007
2025-26 Topps Draymond Green Purple Rainbow #/250 Warriors,Paid,04/24/2026 23:53:04 +00:00,04/29/2026 23:53:04 +00:00,False,$1.04,$1.04,$0.00,238229,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/1jEAAeSw9cNp62b1/$_1.JPG?set_id=8800005007
2024-25 Panini Select Jared McCain Concourse RC Green Wave Prizm #/50 76ers,Paid,04/24/2026 23:50:11 +00:00,04/29/2026 23:50:11 +00:00,False,$16.51,$3.96,$12.55,238229,https://i.ebayimg.com/00/s/MTYwMFgxMjAy/z/MPAAAeSw8Ghp62a2/$_1.JPG?set_id=8800005007
2025-26 Topps Anthony Edwards Gold #/2025 Timberwolves,Paid,04/24/2026 23:47:18 +00:00,04/29/2026 23:47:18 +00:00,False,$7.50,$2.49,$5.01,238229,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/FQ4AAeSwm7lp62do/$_1.JPG?set_id=8800005007
2024-25 Panini Donruss Optic Amen Thompson Purple Prizm #169 Rockets,Unsold,04/24/2026 23:44:25 +00:00,04/29/2026 23:44:25 +00:00,False,$0.00,$2.00,-$2.00,238229,https://i.ebayimg.com/00/s/MTYwMFgxMTg4/z/OsoAAeSw2rlp62b0/$_1.JPG?set_id=8800005007
2025 Bowman Mike Trout Mega Box Burgundy Refractor #/275 Angels,Paid,04/24/2026 23:41:32 +00:00,04/29/2026 23:41:32 +00:00,False,$4.76,$1.94,$2.82,238229,https://i.ebayimg.com/00/s/MTYwMFgxMjAy/z/1aQAAeSwNBlp62eq/$_1.JPG?set_id=8800005007
