Action,ItemID,EndingReason
End,226913624261,NotAvailable
End,226913624408,NotAvailable
End,226913624443,NotAvailable
End,226913624518,NotAvailable
End,226913624593,NotAvailable
End,226913624612,NotAvailable
End,226913624638,NotAvailable
End,226913624824,NotAvailable
End,226913624851,NotAvailable
End,226913624868,NotAvailable
End,226913624969,NotAvailable
End,226913777651,NotAvailable
End,226913777733,NotAvailable
End,226913777739,NotAvailable
End,226913777771,NotAvailable
End,226913777773,NotAvailable
End,226913801474,NotAvailable
End,226914140598,NotAvailable
End,226914140623,NotAvailable
End,226914140629,NotAvailable
End,226914140662,NotAvailable
End,226914140775,NotAvailable
End,226914140782,NotAvailable
End,226914140840,NotAvailable
End,226914140844,NotAvailable
End,226914345370,NotAvailable
End,226915961953,NotAvailable
End,226915962004,NotAvailable
End,226915962117,NotAvailable
End,226915962144,NotAvailable
End,226915962195,NotAvailable
End,226915962248,NotAvailable
End,226915962266,NotAvailable
End,226915962305,NotAvailable
End,226915962360,NotAvailable
End,226915962472,NotAvailable
End,226915962741,NotAvailable
End,226915962874,NotAvailable
End,226915962878,NotAvailable
End,226917654103,NotAvailable
End,226918818168,NotAvailable
End,226918818182,NotAvailable
End,226918818260,NotAvailable
End,226918818319,NotAvailable
End,226918818357,NotAvailable
End,226918818415,NotAvailable
End,226918818476,NotAvailable
End,226918818529,NotAvailable
End,226918818576,NotAvailable
End,226918818613,NotAvailable
End,226918818855,NotAvailable
End,226918818887,NotAvailable
End,226918818913,NotAvailable
End,226918818946,NotAvailable
End,226918819081,NotAvailable
End,226918819194,NotAvailable
End,226918819234,NotAvailable
End,226918819363,NotAvailable
End,226918819396,NotAvailable
End,226918819499,NotAvailable
End,226918819506,NotAvailable
End,226919238755,NotAvailable
End,226921254988,NotAvailable
End,226921255024,NotAvailable
End,226921255036,NotAvailable
End,226921255097,NotAvailable
End,226921255124,NotAvailable
End,226921255148,NotAvailable
End,226921255182,NotAvailable
End,226921255187,NotAvailable
End,226921255213,NotAvailable
End,226921255281,NotAvailable
End,226921255297,NotAvailable
End,226924408130,NotAvailable
End,226924408161,NotAvailable
End,226924585685,NotAvailable
End,226924585699,NotAvailable
End,226924585758,NotAvailable
End,226924585798,NotAvailable
End,226924585833,NotAvailable
End,226924585870,NotAvailable
End,226924585942,NotAvailable
End,226924586061,NotAvailable
End,226924586076,NotAvailable
End,226924586102,NotAvailable
End,226927783763,NotAvailable
End,226927783802,NotAvailable
End,226927783803,NotAvailable
End,226927783855,NotAvailable
End,226927783864,NotAvailable
End,226927783963,NotAvailable
End,226927784163,NotAvailable
End,226927784186,NotAvailable
End,226927784361,NotAvailable
End,226927784391,NotAvailable
End,226927784512,NotAvailable
End,226927784555,NotAvailable
End,226927784645,NotAvailable
End,226927784702,NotAvailable
End,226927784711,NotAvailable
End,226927784751,NotAvailable
End,226927784773,NotAvailable
End,226927784805,NotAvailable
End,226927784845,NotAvailable
End,226927784887,NotAvailable
End,226927784957,NotAvailable
End,226927870862,NotAvailable
End,226927871251,NotAvailable
End,226928037291,NotAvailable
End,226928037328,NotAvailable
End,226928037344,NotAvailable
End,226928037379,NotAvailable
End,226928037383,NotAvailable
End,226930875004,NotAvailable
End,226930875024,NotAvailable
End,226930875051,NotAvailable
End,226930875092,NotAvailable
End,226930875095,NotAvailable
End,226930875126,NotAvailable
End,226930875180,NotAvailable
End,226930875238,NotAvailable
End,226930875289,NotAvailable
End,226930875327,NotAvailable
End,226930875334,NotAvailable
End,226930875378,NotAvailable
End,226930875387,NotAvailable
End,226938241326,NotAvailable
End,226938241371,NotAvailable
End,226938241393,NotAvailable
End,226938241513,NotAvailable
End,226938746858,NotAvailable
End,226938746878,NotAvailable
End,226938747069,NotAvailable
End,226938747087,NotAvailable
End,226938747106,NotAvailable
End,226948322497,NotAvailable
End,226948323095,NotAvailable
End,226948323712,NotAvailable
End,226948323725,NotAvailable
End,226949909685,NotAvailable
End,226950020194,NotAvailable
End,226950084125,NotAvailable
End,226950084167,NotAvailable
End,226950084189,NotAvailable
End,226950084203,NotAvailable
End,226950084230,NotAvailable
End,226950084257,NotAvailable
End,226950084325,NotAvailable
End,226950084331,NotAvailable
End,226950861214,NotAvailable
End,226950861239,NotAvailable
End,226950861274,NotAvailable
End,226950861343,NotAvailable
End,226950861386,NotAvailable
End,226950861390,NotAvailable
End,226950861435,NotAvailable
End,226950861439,NotAvailable
End,226950861500,NotAvailable
End,226950861502,NotAvailable
End,226950861557,NotAvailable
End,226950861558,NotAvailable
End,226950861637,NotAvailable
End,226950861639,NotAvailable
End,226950861782,NotAvailable
End,226950861783,NotAvailable
End,226950861847,NotAvailable
End,226950861848,NotAvailable
End,226950861917,NotAvailable
End,226950861989,NotAvailable
End,226950862022,NotAvailable
End,226950862053,NotAvailable
End,226950862073,NotAvailable
End,226950862099,NotAvailable
End,226950862125,NotAvailable
End,226950862156,NotAvailable
End,226950862178,NotAvailable
End,226950862194,NotAvailable
End,226950862224,NotAvailable
End,226950862304,NotAvailable
End,226950862341,NotAvailable
End,226950862359,NotAvailable
End,226950862430,NotAvailable
End,226950862449,NotAvailable
End,226950862535,NotAvailable
End,226950862631,NotAvailable
End,226950862639,NotAvailable
End,226950862698,NotAvailable
End,226950862708,NotAvailable
End,226950862769,NotAvailable
End,226950862785,NotAvailable
End,226950862836,NotAvailable
End,226950862894,NotAvailable
End,226950862909,NotAvailable
End,226955266092,NotAvailable
End,226956851267,NotAvailable
End,226956894079,NotAvailable
End,226957076476,NotAvailable
End,226961750182,NotAvailable
End,226961752677,NotAvailable
End,226961754895,NotAvailable
End,226961844353,NotAvailable
End,226961844432,NotAvailable
End,226961844768,NotAvailable
End,226961844810,NotAvailable
End,226961844841,NotAvailable
End,226961844971,NotAvailable
End,226961850236,NotAvailable
End,226961850254,NotAvailable
End,226961850289,NotAvailable
End,226961852277,NotAvailable
End,226961852323,NotAvailable
End,226961852403,NotAvailable
End,226961852482,NotAvailable
End,226961852529,NotAvailable
End,226961852748,NotAvailable
End,226961852849,NotAvailable
End,226961853231,NotAvailable
End,226961853275,NotAvailable
End,226961902794,NotAvailable
End,226961902850,NotAvailable
End,226961902907,NotAvailable
End,226965092952,NotAvailable
End,226965105406,NotAvailable
End,226966409164,NotAvailable
End,226966409176,NotAvailable
End,226966409192,NotAvailable
End,226966409198,NotAvailable
End,226966409208,NotAvailable
End,226966409216,NotAvailable
End,226966409229,NotAvailable
End,226966409242,NotAvailable
End,226966409272,NotAvailable
End,226966409286,NotAvailable
End,226966409314,NotAvailable
End,226966409332,NotAvailable
End,226966409357,NotAvailable
End,226969899993,NotAvailable
End,226970002587,NotAvailable
End,226970002697,NotAvailable
End,226970003079,NotAvailable
End,226971523077,NotAvailable
End,226971639060,NotAvailable
End,226973091611,NotAvailable
End,226973091801,NotAvailable
End,226973091818,NotAvailable
End,226974364579,NotAvailable
End,226974427643,NotAvailable
End,226978021411,NotAvailable
End,226978021467,NotAvailable
End,226978021481,NotAvailable
End,226978062190,NotAvailable
End,226978062206,NotAvailable
End,226979687202,NotAvailable
End,226979687212,NotAvailable
End,226979687230,NotAvailable
End,226979687237,NotAvailable
End,226979687285,NotAvailable
End,226979687293,NotAvailable
End,226979687326,NotAvailable
End,226979687336,NotAvailable
End,226979687370,NotAvailable
End,226979687397,NotAvailable
End,226979687417,NotAvailable
End,226979687453,NotAvailable
End,226979687491,NotAvailable
End,226979687537,NotAvailable
End,226979687539,NotAvailable
End,226979687590,NotAvailable
End,226979687631,NotAvailable
End,226979687647,NotAvailable
End,226979687671,NotAvailable
End,226979687724,NotAvailable
End,226979687767,NotAvailable
End,226979687813,NotAvailable
End,226979687815,NotAvailable
End,226979687853,NotAvailable
End,226979687857,NotAvailable
End,226979688284,NotAvailable
End,226979688285,NotAvailable
End,226979688367,NotAvailable
End,226979688381,NotAvailable
End,226979688431,NotAvailable
End,226979688474,NotAvailable
End,226979688522,NotAvailable
End,226979688542,NotAvailable
End,226979688595,NotAvailable
End,226979688659,NotAvailable
End,226979688693,NotAvailable
End,226979688722,NotAvailable
End,226979688782,NotAvailable
End,226979688804,NotAvailable
End,226979688873,NotAvailable
End,226979688885,NotAvailable
End,226979688940,NotAvailable
End,226979688983,NotAvailable
End,226979689145,NotAvailable
End,226979689208,NotAvailable
End,226979689237,NotAvailable
End,226979689249,NotAvailable
End,226979689267,NotAvailable
End,226979689301,NotAvailable
End,226979689321,NotAvailable
End,226979689370,NotAvailable
End,226979689388,NotAvailable
End,226979689456,NotAvailable
End,226979689504,NotAvailable
End,226979689584,NotAvailable
End,226979689615,NotAvailable
End,226979689650,NotAvailable
End,226979689676,NotAvailable
End,226979689715,NotAvailable
End,226979712889,NotAvailable
End,226979713251,NotAvailable
End,226979713356,NotAvailable
End,226979713420,NotAvailable
End,226979713825,NotAvailable
End,226979713916,NotAvailable
End,226979714257,NotAvailable
End,226983228194,NotAvailable
End,226983228226,NotAvailable
End,226983228272,NotAvailable
End,226983228351,NotAvailable
End,226983228363,NotAvailable
End,226983228414,NotAvailable
End,226983228419,NotAvailable
End,226983228465,NotAvailable
End,226983228674,NotAvailable
End,226983228761,NotAvailable
End,226983229023,NotAvailable
End,226983229144,NotAvailable
End,226983229213,NotAvailable
End,226983229550,NotAvailable
End,226983229553,NotAvailable
End,226983229643,NotAvailable
End,226983230037,NotAvailable
End,226983230039,NotAvailable
End,226983230120,NotAvailable
End,226983240993,NotAvailable
End,226983241056,NotAvailable
End,226989333606,NotAvailable
End,226989333857,NotAvailable
End,226989334072,NotAvailable
End,226989334074,NotAvailable
End,226989334143,NotAvailable
End,226989334149,NotAvailable
End,226989334341,NotAvailable
End,226989334429,NotAvailable
End,226989334484,NotAvailable
End,226989334538,NotAvailable
End,226989334645,NotAvailable
End,226989334816,NotAvailable
End,226989335185,NotAvailable
End,226989335342,NotAvailable
End,226989335358,NotAvailable
End,226989335369,NotAvailable
End,226989335382,NotAvailable
End,226989335388,NotAvailable
End,226989335415,NotAvailable
End,226989335441,NotAvailable
End,226989335469,NotAvailable
End,226989335517,NotAvailable
End,226989335518,NotAvailable
End,226989335562,NotAvailable
End,226989335602,NotAvailable
End,226989335604,NotAvailable
End,226990354738,NotAvailable
End,226991050504,NotAvailable
End,226991050581,NotAvailable
End,226991052304,NotAvailable
End,226991052492,NotAvailable
End,226991052521,NotAvailable
End,226991052560,NotAvailable
End,226991052575,NotAvailable
End,226991052597,NotAvailable
End,226991052648,NotAvailable
End,226991057140,NotAvailable
End,226991057203,NotAvailable
End,226991057205,NotAvailable
End,226991059590,NotAvailable
End,226991059599,NotAvailable
End,226991059623,NotAvailable
End,226991059731,NotAvailable
End,226991060126,NotAvailable
End,226991060218,NotAvailable
End,226991060227,NotAvailable
End,226991060268,NotAvailable
End,226992654656,NotAvailable
End,226992654674,NotAvailable
End,226992654698,NotAvailable
End,226992654732,NotAvailable
End,226992654751,NotAvailable
End,226992654787,NotAvailable
End,226992654790,NotAvailable
End,226992654837,NotAvailable
End,226992654844,NotAvailable
End,226992654973,NotAvailable
End,226992654980,NotAvailable
End,226992655125,NotAvailable
End,226992655164,NotAvailable
End,226992655199,NotAvailable
End,226992655215,NotAvailable
End,226992655261,NotAvailable
End,226992655327,NotAvailable
End,226992655491,NotAvailable
End,226992657345,NotAvailable
End,226992657485,NotAvailable
End,226992674094,NotAvailable
End,226994253198,NotAvailable
End,226995746071,NotAvailable
End,226995760746,NotAvailable
End,226995760803,NotAvailable
End,226995800212,NotAvailable
End,226996319850,NotAvailable
End,226996339657,NotAvailable
End,226996392291,NotAvailable
End,226996417279,NotAvailable
End,226996433174,NotAvailable
End,226997741085,NotAvailable
End,226997741117,NotAvailable
End,226997741183,NotAvailable
End,226997741216,NotAvailable
End,226997741252,NotAvailable
End,226997741274,NotAvailable
End,226997741287,NotAvailable
End,226997741319,NotAvailable
End,226997741565,NotAvailable
End,226997741571,NotAvailable
End,226997749944,NotAvailable
End,226997750027,NotAvailable
End,226997750063,NotAvailable
End,226997750083,NotAvailable
End,226997750108,NotAvailable
End,226997750168,NotAvailable
End,226997750190,NotAvailable
End,226997751441,NotAvailable
End,226997782572,NotAvailable
End,226997782627,NotAvailable
End,226997782634,NotAvailable
End,226997782657,NotAvailable
End,226997782693,NotAvailable
End,226997782701,NotAvailable
End,226997782774,NotAvailable
End,226997782802,NotAvailable
End,226997782827,NotAvailable
End,226997782861,NotAvailable
End,226997782896,NotAvailable
End,226997782898,NotAvailable
End,226997782943,NotAvailable
End,226997782963,NotAvailable
End,226997782972,NotAvailable
End,226997782997,NotAvailable
End,226997783025,NotAvailable
End,226997783050,NotAvailable
End,226997783095,NotAvailable
End,226997783162,NotAvailable
End,226997783259,NotAvailable
End,226997783445,NotAvailable
End,226997783452,NotAvailable
End,226997783514,NotAvailable
End,226997783543,NotAvailable
End,227001458106,NotAvailable
End,227001458138,NotAvailable
End,227001458165,NotAvailable
End,227001458317,NotAvailable
End,227001458346,NotAvailable
End,227001458418,NotAvailable
End,227001458518,NotAvailable
End,227001458538,NotAvailable
End,227001458556,NotAvailable
End,227001458814,NotAvailable
End,227001458837,NotAvailable
End,227001458949,NotAvailable
End,227001459121,NotAvailable
End,227001459400,NotAvailable
End,227001459610,NotAvailable
End,227001459905,NotAvailable
End,227001460003,NotAvailable
End,227001460153,NotAvailable
End,227001460274,NotAvailable
End,227001460372,NotAvailable
End,227001460526,NotAvailable
End,227001460580,NotAvailable
End,227001460600,NotAvailable
End,227001460640,NotAvailable
End,227001460684,NotAvailable
End,227001460779,NotAvailable
End,227001460847,NotAvailable
End,227001460892,NotAvailable
End,227001460955,NotAvailable
End,227001461013,NotAvailable
End,227001461050,NotAvailable
End,227001461115,NotAvailable
End,227001461218,NotAvailable
End,227001461425,NotAvailable
End,227001461505,NotAvailable
End,227001461621,NotAvailable
End,227001461713,NotAvailable
End,227001461785,NotAvailable
End,227001462081,NotAvailable
End,227001462228,NotAvailable
End,227001462362,NotAvailable
End,227001462646,NotAvailable
End,227001463325,NotAvailable
End,227001463563,NotAvailable
End,227001463692,NotAvailable
End,227001463814,NotAvailable
End,227001463965,NotAvailable
End,227001464292,NotAvailable
